9000106,20220930,1,2355,ST-1991,신길6동_026_1,ST-1991,신길6동_026_1,1,14,1342.67
9000107,20220930,1,2355,ST-522,우장산동_004_2,ST-1069,화곡6동_025_1,1,22,1880.0
9000108,20220930,1,2355,ST-528,등촌2동_002_1,ST-517,염창동_009_1,1,45,1360.97
9000109,20220930,1,2355,ST-2574,풍납2동_049_4,ST-2797,방이2동_012_1,1,13,1639.87
9000110,20220930,1,2355,ST-396,휘경2동_032_2,ST-396,휘경2동_032_2,1,109,5080.0
9000111,20220930,1,2355,ST-2045,가양1동_039_16,ST-1251,가양1동_037_1,1,10,1534.87
9000112,20220930,1,2355,ST-2013,신정7동_035_1,ST-2960,신정7동_016_1,1,58,3077.43
9000113,20220930,1,2355,ST-438,청파동_039_1,ST-2173,한강로동_004_1,1,8,1067.45
9000114,20220930,1,2355,ST-2491,가양1동_002_4,ST-1338,방화1동_016_1,1,40,1528.35
9000115,20220930,1,2355,ST-2702,하계1동_043_1,ST-2702,하계1동_043_1,1,0,0.0
9000116,20220930,1,2355,ST-700,노량진1동_025_1,ST-332,용산2가동_011_4,1,46,5996.96
9000117,20220930,1,2355,ST-2614,신사동_044_1,ST-635,독산3동_037_1,1,17,2300.0
9000118,20220930,1,2355,ST-1996,목1동_049_1,ST-2013,신정7동_035_1,1,15,2695.37
9000119,20220930,1,2355,ST-2811,양평2동_024_1,ST-1000,신정7동_003_1,1,22,4286.39
9000120,20220930,1,2355,ST-1992,문래동_046_1,ST-1968,영등포동_006_1,1,12,1820.0
9000121,20220930,1,2355,ST-1689,가양1동_039_3,ST-513,가양1동_049_1,1,5,1165.61
9000122,20220930,1,2355,ST-574,월곡2동_006_1,ST-565,종암동_048_1,1,15,1829.65
9000123,20220930,1,2355,ST-1874,오륜동_041_1,ST-2877,오금동_013_1,1,35,5880.0
9000124,20220930,1,2355,ST-1497,목1동_004_2,ST-1994,목5동_034_1,1,5,1107.64
9000125,20220930,1,2355,ST-975,방화1동_055_2,ST-2857,방화1동_055_1,1,10,1004.3
9000126,20220930,1,2355,ST-520,가양3동_011_3,ST-1069,화곡6동_025_1,1,19,2460.0
9000127,20220930,1,2355,ST-445,군자동_030_1,ST-114,군자동_020_1,1,2,381.13
9000128,20220930,1,2355,ST-2317,중곡2동_014_1,ST-983,중곡1동_022_1,2,6,599.77
9000129,20220930,1,2355,ST-377,구의3동_027_1,ST-1722,구의2동_042_1,1,6,830.0
9000130,20220930,1,2355,ST-161,종로5·6가동_007_2,ST-161,종로5·6가동_007_2,1,6,660.0
9000131,20220930,1,2355,ST-455,응암1동_032_1,ST-455,응암1동_032_1,1,84,14390.0
9000132,20220930,1,2355,ST-3095,증산동_028_1,ST-481,구산동_062_1,1,22,4543.26
9000133,20220930,1,2355,ST-439,남영동_004_1,ST-439,남영동_004_1,1,79,13591.85
9000134,20220930,0,2355,ST-1065,가양1동_040_1,ST-834,등촌3동_053_3,1,4,630.51
9000135,20220930,0,2355,ST-533,등촌2동_027_1,ST-1400,목3동_039_1,1,2,570.0
9000136,20220930,1,2355,ST-470,대조동_003_1,ST-454,대조동_024_1,1,1,250.0
9000137,20220930,1,2355,ST-2884,발산1동_012_6,ST-2049,발산1동_012_4,1,3,590.0
9000138,20220930,1,2355,ST-2463,개봉2동_034_1,ST-2006,신정2동_021_1,1,90,14012.36
9000139,20220930,1,2355,ST-1994,목5동_034_1,ST-1006,목5동_054_1,1,9,1310.0
9000140,20220930,1,2355,ST-534,화곡4동_038_1,ST-1517,발산1동_012_1,1,38,6681.36
9000141,20220930,1,2355,ST-1796,오금동_050_1,ST-366,옥수동_036_1,1,72,27760.0
9000142,20220930,1,2355,ST-1974,도림동_027_2,ST-1697,대림3동_036_1,1,6,970.0
9000143,20220930,1,2355,ST-499,명일1동_010_5,ST-1061,천호1동_039_1,1,4,790.0
