,학교명,소재지지번주소,소재지도로명주소,위도,경도
144,금옥여자고등학교,서울특별시 양천구 신정동 729,서울특별시 양천구 신정로 213 (신정동),37.5109653172,126.8439716817
145,양천고등학교,서울특별시 양천구 신정동 856-5,서울특별시 양천구 신정로14길 13 (신정동.양천고등학교),37.5083205987,126.8452027606
146,월계중학교,서울특별시 노원구 월계동 602-1,서울특별시 노원구 월계로45가길 54 (월계동),37.6311311432,127.0523202622
147,남강고등학교,서울특별시 관악구 신림동 627-1,서울특별시 관악구 난곡로34길 80 (신림동.남강중고등학교),37.4713756726,126.9249091057
148,구로고등학교,서울특별시 구로구 구로동 105-1,서울특별시 구로구 가마산로27길 45 . 구로고등학교 (구로동),37.4988400846,126.8903091919
149,문래중학교,서울특별시 영등포구 문래동6가 44,서울특별시 영등포구 선유서로13길 6 (문래동6가.문래중학교),37.5204182911,126.8841403786
150,상도중학교,서울특별시 동작구 사당동 181-20,서울특별시 동작구 사당로2가길 72 . 상도중학교 (사당동),37.4909219003,126.9614755956
151,성남고등학교,서울특별시 동작구 대방동 375-1,서울특별시 동작구 대방동길 74 (대방동),37.5052815748,126.9266152782
152,서울선유초등학교,서울특별시 영등포구 양평동3가 91,서울특별시 영등포구 선유로43가길 14 (양평동3가. 서울선유초등학교),37.5328791909,126.8927768192
153,배문중학교,서울특별시 용산구 서계동 259-3,서울특별시 용산구 효창원로 258 . 배문중학교 (서계동),37.549918719,126.9639041003
154,광양중학교,서울특별시 광진구 자양동 674,서울특별시 광진구 자양로3길 7 (자양동),37.5308913414,127.0861699867
155,서울신중초등학교,서울특별시 서초구 서초동 1466-5,서울특별시 서초구 남부순환로317길 15 (서초동.서울신중초등학교),37.4801578791,127.0093432545
156,숭곡중학교,서울특별시 성북구 하월곡동 87-1,서울특별시 성북구 종암로 208 . 숭곡중학교 (하월곡동),37.6084784793,127.0312998012
157,대경중학교,서울특별시 중구 신당동 333-579,서울특별시 중구 매봉18길 111 (신당동),37.55637326,127.0169791563
158,서울서신초등학교,서울특별시 은평구 신사동 194,서울특별시 은평구 은평터널로 150 (신사동),37.5922940508,126.9073823162
159,서울숭곡초등학교,서울특별시 성북구 하월곡동 84-86,서울특별시 성북구 종암로40길 30 (하월곡동.서울숭곡초등학교),37.60840947,127.0328151151
160,옥정중학교,서울특별시 성동구 옥수동 227,서울특별시 성동구 한림말길 11 . 옥정중학교 (옥수동),37.5416703705,127.0129832345
161,서울화곡초등학교,서울특별시 강서구 화곡동 24-266,서울특별시 강서구 초록마을로 28 화곡동.화곡초등학교,37.5436696173,126.8464717253
162,잠신고등학교,서울특별시 송파구 잠실동 22-2,서울특별시 송파구 잠실로 24 . 잠신고등학교 (잠실동),37.5147012912,127.0882829598
163,용곡중학교,서울특별시 광진구 중곡동 176-77,서울특별시 광진구 용마산로22길 76 (중곡동. 용곡중학교),37.565951259,127.08908955
164,미양중학교,서울특별시 강북구 미아동 837-734,서울특별시 강북구 인수봉로 39 (미아동.미양중.고등학교),37.6236671693,127.0121791711
165,서울금산초등학교,서울특별시 금천구 시흥동 653-27,서울특별시 금천구 시흥대로24길 57 (시흥동. 서울금산초등학교),37.4414426922,126.9080871277
166,서울방화초등학교,서울특별시 강서구 방화동 542-2,서울특별시 강서구 양천로6길 92 (방화동),37.5687037272,126.8074981686
167,서울금동초등학교,서울특별시 금천구 시흥동 1013-1,서울특별시 금천구 금하로30길 53 . 서울금동초등학교 (시흥동),37.4477384842,126.9163989472
168,성신초등학교,서울특별시 성북구 돈암동 산11-269,서울특별시 성북구 북악산로 918 (돈암동.성신초등학교),37.5946231286,127.0231284504
169,을지중학교,서울특별시 노원구 중계동 360-19,서울특별시 노원구 덕릉로 580 (중계동),37.6497879094,127.0717084033
170,서울두산초등학교,서울특별시 금천구 독산동 1002-5,서울특별시 금천구 범안로11길 3 . 서울두산초등학교 (독산동),37.4675483868,126.8909461313
