대여소 번호,보관소(대여소)명,자치구,상세주소,위도,경도,설치시기,LCD 거치대수,QR 거치대수,운영방식
4837, 양원지구 힐데스하임 앞,중랑구,서울특별시 중랑구 봉화산로 301,37.60924149,127.1062088,2021-12-13,,8,QR
4838,동원사거리 행복오피스텔 앞,중랑구,서울특별시 중랑구 겸재로 240 행복오피스텔,37.58973694,127.0941925,2022-01-03,,7,QR
4840, 서울시 북부병원 앞,중랑구,서울특별시 중랑구 양원역로 38 서울시북부병원 및 시립중랑노인전문요양원,37.60405731,127.107254,2022-01-12,,7,QR
4830, 신내 우디안 111동 앞,중랑구,서울특별시 중랑구 신내역로1길 85 신내우디안1단지,37.61727142,127.1085434,2022-01-12,,7,QR
4841,중화수경공원,중랑구,중랑구 중화동 381-3,37.60318375,127.0741348,2022-11-01,,15,QR
1302, 한성대입구역6번출구 뒤,성북구,서울특별시 성북구 동소문로 1 한성대입구역6번출구 뒤,37.58876419,127.0063095,2017-06-20,5,,LCD
1303, 돈암초교 입구,성북구,서울특별시 성북구 동소문로13길 38 돈암초교,37.59169388,127.012497,2017-06-30,10,,LCD
1304, 만해공원,성북구,서울특별시 성북구 성북로 132-1 만해공원,37.59440231,126.9923096,2017-06-20,10,,LCD
1305, 성북구청,성북구,서울특별시 성북구 보문로 168 성북구청,37.58932877,127.0164337,2017-08-03,15,,LCD
1306, 한성대입구역2번출구,성북구,서울특별시 성북구 동소문로 2 성북구 동소문동2가 2-3,37.58844757,127.0067062,2017-06-22,,10,QR
1308, 안암로터리 버스정류장 앞,성북구,서울특별시 성북구 안암로 69 안암로터리 버스정류장,37.58259201,127.0289764,2017-06-20,18,,LCD
1314, 정릉꿈에그린1단지 201동 앞,성북구,서울특별시 성북구 아리랑로19길 20 성북구 정릉동 966-62,37.60243988,127.0116882,2017-04-26,8,,LCD
1315, 고려사대부속중고 정문,성북구,서울특별시 성북구 보국문로29길 23 성북구 정릉동 966-1,37.60776138,127.0032806,2017-04-26,10,,LCD
1316, 고려사대부속중고 건너편,성북구,서울특별시 성북구 보국문로29길 23 성북구 정릉동 966-1,37.60726166,127.0028381,2017-04-26,10,,LCD
1318, 길음역 3번출구 뒤,성북구,서울특별시 성북구 동소문로 248 동소문로248,37.60308456,127.0247879,2017-04-26,14,,LCD
