,보관소(대여소)명,자치구,상세주소,위도,경도,shortest_road,법정동,shortest_subway,shortest_subway_meter,public_place_in_100m,shortest_bus,shortest_bus_meter
1341, 신목동역 3번출구,양천구,양천구 목동 136-1,37.54394913,126.883461,목동중앙로13길,목동,신목동,49.6,0,신목동역,22.0
1342,신정숲속마을아파트,양천구,양천구 신정로 110,37.50574493,126.8363113,신정로6길,신정동,오류동,1480.3,0,댓골마을입구,88.7
1343,목동5단지아파트 501동,양천구,양천구 목동,37.53566742,126.8815842,목동동로16길,목동,신목동,964.7,0,목동5단지,20.5
1344,CBS방송국 앞,양천구,양천구 목동 917-1,37.52785492,126.8746719,목동서로,목동,오목교,375.5,0,CBS방송국,47.6
1345,목동역5번출구 교통정보센터 앞,양천구,양천구 목동로 186,37.52571487,126.8648682,오목로50길,목동,목동,39.3,1,목동역,44.0
1346,목동아파트 703동 앞,양천구,양천구 목동로 186 ,37.52820587,126.870163,목동서로,목동,목동,519.9,0,목동7단지,16.3
1347,"염창역 3, 4번 출구 사이",양천구,공항대로 630,37.54670715,126.8745728,목동중앙북로,목동,염창,39.6,0,도시가스사업소,12.7
1348,등촌역 4번 출구,양천구,양천구 목동 603-2,37.54950714,126.867218,목동중앙북로7길,목동,등촌,184.0,2,등촌역.강서보건소,35.4
1349,세종그랑시아 앞(102동),양천구,양천구 목동중앙남로3가길 59,37.53837585,126.8638306,목동중앙남로3가길,목동,목동,1369.8,1,목동시장.대일고교.배광교회,69.8
1350,목마공원,양천구,양평교 하부,37.53874207,126.8856812,안양천동자전거길,목동,신목동,655.9,1,이대목동병원,155.6
1351,신월6차보람아파트 앞,양천구,양천구 곰달래로7길 7,37.53012848,126.8347778,곰달래로,신월동,까치산,1067.9,0,보람쉬움아파트.신영시장,47.9
1352, 신정1동 주민센터 앞,양천구,양천구 중앙로 250,37.51854324,126.8538818,중앙로34가길,신정동,신정네거리,190.3,1,신정1동주민센터,46.5
1353,신정교 하부,양천구,양천구 신정동 871-37,37.5173378,126.8776474,안양천서자전거길,신정동,도림천,565.3,0,삼성아파트후문,96.8
1354,신정보도육교 아래,양천구,양천구 신목로 10,37.51759338,126.8765564,신목로,신정동,도림천,660.5,0,삼성아파트후문,78.1
1355,서남병원 후문,양천구,양천구 신정이펜1로 20,37.51167297,126.8327408,신정이펜1로,신정동,오류동,2206.3,1,서남병원,13.1
1356,"양천구청, 보건소 사잇길",양천구,양천구 신정동 321-8,37.51732635,126.8663025,목동로,신정동,양천구청,548.7,2,양천구청.보건소.경찰서,92.0
1357,목동아파트 8단지 상가동 앞,양천구,양천구 목동서로 280,37.52007294,126.8683014,목동서로,신정동,목동,728.7,0,목동8단지.한전,12.5
1358,양천아파트 입구,양천구,양천구 목동로3길 41,37.50790405,126.862648,목동남로,신정동,양천구청,572.2,0,양천아파트,68.9
1359,양천구청역 2번출구 옆,양천구,양천구 목동로3길 57,37.51228714,126.8652802,목동로3길,신정동,양천구청,49.2,0,양천구청역,31.3
1360,화곡고가 사거리,양천구,양천구 신월동 455-5 ,37.52760696,126.8487549,국회대로,신월동,까치산,496.8,0,화곡전화국,215.5
1361,현대하이페리온,양천구,오목로300(205동앞 서쪽방향),37.52490616,126.8697891,오목로,목동,목동,448.3,2,하이스트학원.종로학원,30.6
1362,목동트라팰리스 웨스턴에비뉴,양천구,오목로299(이마트 출입구측),37.52537155,126.8709259,목동동로,목동,오목교,388.5,3,하이스트학원.종로학원,136.9
1363,목동5단지아파트 534동,양천구,서울특별시 양천구 목동동로 350 목동신시가지아파트5단지,37.53302002,126.8778992,목동서로,목동,오목교,976.1,1,목동5단지C상가.목동운동장북문,42.4
1364,양천문화회관,양천구,양천구 신정동 323-1,37.51686478,126.8629608,목동서로12길,신정동,양천구청,556.4,1,양천문화회관.양천일자리센터,51.8
1365,양천 해누리타운,양천구,양천구 신정동 327-4,37.51584244,126.8641129,목동동로4길,신정동,양천구청,411.0,1,양천구민체육센터.양천일자리센터,35.0
1366,목동아파트 14단지 B상가 앞,양천구,양천구 신정동 330,37.5146637,126.8719406,목동동로8길,신정동,양천구청,596.8,0,목동14단지상가,13.0
1367,목동아파트 1422동 1434동 사잇길,양천구,양천구 신정동 332-2,37.51515579,126.8724899,목동동로8길,신정동,양천구청,664.5,0,목동14단지관리사무소앞,32.9
1368, 신정제일시장,양천구,신월로 308,37.52124786,126.8549576,은행정로5길,신정동,신정네거리,222.9,1,신정4동경서농협,26.0
1369, 유원목동아파트 103동 앞,양천구,신목로 77,37.52109528,126.8732071,신목로,신정동,오목교,415.8,0,현대아이파크아파트,8.1
1370, 서울영상고교 입구,양천구,신월로 347,37.52198029,126.8592835,은행정로3길,신정동,신정,432.2,0,우리은행신정동지점,31.8
1371, 신정네거리역 교차로,양천구,중앙로 280,37.52175903,126.8522873,중앙로45길,신정동,신정네거리,195.0,0,신정네거리해누리분수광장,69.8
1372, 목동13_14단지 사거리,양천구,목동동로 130,37.5140686,126.8699875,목동동로8길,신정동,양천구청,412.6,0,목동13단지,62.2
1373, 목동성당 앞,양천구,목동서로 271,37.52319717,126.8693008,오목로52길,신정동,목동,500.5,0,목동8단지천주교,76.1
1374, 동문굿모닝탑,양천구,목동동로 53,37.51481247,126.8611755,목동동로4길,신정동,양천구청,490.2,0,목동12단지,102.5
1375, 신진빌라,양천구,남부순환로53길 7,37.53528214,126.8300095,남부순환로53길,신월동,화곡,1153.9,0,서부여성발전센터,89.1
1376, 성보하이드로빌딩,양천구,남부순환로 435,37.52893829,126.8331223,남부순환로63길,신월동,까치산,1239.1,0,서서울호수공원,38.9
1377, 청기와빌딩,양천구,신월로 200,37.52011108,126.8447495,신월로20길,신월동,신정네거리,721.6,0,청기와네거리,84.4
1378, 양원보도육교,양천구,화곡로 16,37.53924561,126.8237381,남부순환로30길,신월동,우장산,1533.9,0,양원초교.광영여고,31.9
1379, 대성유니드아파트,양천구,신월로15길 25,37.52091599,126.8409576,오목로4길,신월동,신정네거리,1060.9,0,강서초등학교,114.1
1380, 신곡시장,양천구,신월로 160,37.51779556,126.8416138,신월로12길,신월동,신정네거리,1030.3,1,신한은행신월동지점,19.7
1381, 구립양천어르신요양센터,양천구,신월로 26,37.51351166,126.8268127,신정이펜1로,신정동,까치울,1620.8,0,신정이펜하우스1단지아파트,123.8
1382, 목동아파트2단지 222동 앞,양천구,양천구 목동중앙로 125건너편,37.53968811,126.8749847,목동중앙로,목동,염창,804.5,0,월촌초등학교.우성아파트,81.2
1383, 목동신시가지아파트6단지,양천구,양천구 목동동로 430(6단지 상가동 앞),37.53684616,126.8847504,안양천동자전거길,목동,신목동,837.8,0,목동6단지상가.이대병원입구,18.4
1384, 양천구청역 1번출구,양천구,양천구 신정동 276-7,37.51292038,126.8667984,목동동로6길,신정동,양천구청,104.2,1,양천구청역,33.8
1385, 방아다리어린이공원,양천구,양천구 화곡로 64,37.53936005,126.8288651,남부순환로29길,신월동,화곡,1052.3,2,신월5동주민센터.신월중학교,118.5
1386, 목동아파트 613동 앞,양천구,"양천구 목동동로 430
(613동 인근 상가동 앞)",37.53315735,126.8840866,목동동로18길,목동,선유도,993.6,0,목동아파트5.6단지사잇길.경인초교,38.1
1387, 목동현대아파트 후문 앞,양천구,양천구 신정동 1279,37.5221405,126.8780594,목동동로12길,신정동,오목교,364.8,0,현대아파트후문,25.4
1388, 목동12단지 아파트,양천구,"양천구 목동동로 50
(관리동 앞)",37.51412201,126.860405,목동동로4길,신정동,양천구청,515.5,0,목동12단지,9.5
1389, 양천해누리체육공원,양천구,"양천구 안양천로 711
(주출입구 좌측)",37.51174164,126.8738327,안양천서자전거길,신정동,양천구청,712.2,0,목일중학교,246.2
1390, 서울남부지방검찰청 후문,양천구,양천구 신월로 390,37.52164078,126.8655548,목동로8길,신정동,목동,494.1,0,서울남부지방법원.서울남부지방검찰청,16.6
1391, 양천공영차고지,양천구,서울시 양천구 신정종 836-38,37.50922012,126.8371582,신정로5길,신정동,오류동,1785.0,0,양천공영차고지,39.2
1392, 목동7단지아파트 A상가,양천구,양천구 목동로 212,37.52624512,126.8657837,신정중앙로23길,목동,목동,78.0,0,목동역,62.5
1393, 목동역 3번 출구,양천구,양천구 목동 926-3,37.52653122,126.8644562,신정중앙로23길,목동,목동,66.6,4,목동역.홍익병원,91.0
1394, 갈산문화예술센터,양천구,신정동 330-12,37.51097488,126.8698425,목동남로,신정동,양천구청,389.2,0,갈산초등학교후문,37.9
1395, 월정초 사거리,양천구,양천구 신월동 92-2,37.53642654,126.8334122,가로공원로,신월동,화곡,840.7,0,가로공원공영주차장,43.8
1396, 오목교역 6번 출구,양천구,양천구 신목로 102,37.5236702,126.8756714,신목로,목동,오목교,101.4,1,오목교역,5.5
1397, 개화동상사마을종점 버스정류장,강서구,서울특별시 강서구 개화동로5길 3-8,37.58161163,126.7985992,개화동로5길,개화동,개화,335.7,0,상사마을,32.9
1398, 방화사거리 마을버스 버스정류장,강서구,서울특별시 강서구 양천로17길 6,37.57364273,126.8118057,방화동로16길,방화동,방화,430.1,4,방신시장.LG베스트샵,76.7
1399, 방화역 4번출구앞,강서구,서울특별시 강서구 금낭화로 135,37.57710648,126.8119965,금낭화로,방화동,방화,75.8,1,방화역,38.6
1400, 방화근린공원,강서구,서울특별시 강서구 금낭화로 176,37.58162308,126.8126526,금낭화로,방화동,방화,463.7,1,방화도시7단지.국립국어원,289.1
1401, 신방화사거리,강서구,서울특별시 강서구 방화대로 342,37.57303238,126.816452,양천로26길,방화동,신방화,610.6,0,신방화사거리,18.8
1402, 공항시장역 2번출구 뒤,강서구,서울특별시 강서구 방화동로 지하 30,37.56387329,126.8106079,공항대로3길,방화동,공항시장,17.5,1,공항시장역3번출구,30.6
1403, 공항시장역 4번출구,강서구,서울특별시 강서구 방화동로 지하 30,37.56334686,126.8104858,방화동로,공항동,공항시장,45.4,1,공항시장역3번출구,67.0
1404, 공항중학교앞,강서구,서울특별시 강서구 방화대로 241,37.56220245,126.816246,공항대로15가길,공항동,송정,394.1,0,공항중학교.마곡엠밸리9단지,53.5
1405, 마곡엠밸리6_7단지 마곡중학교,강서구,서울특별시 강서구 마곡중앙5로 58,37.56698227,126.8218002,마곡중앙5로,마곡동,신방화,463.4,1,마곡엠밸리6.7단지.마곡중학교,49.6
1406, 마곡엠밸리4단지 정문,강서구,서울특별시 강서구 마곡서로 175,37.56857681,126.8247757,마곡중앙로,마곡동,마곡나루,439.3,0,마곡엠밸리4단지,43.4
1407, 서남환경공원 버스정류장,강서구,서울특별시 강서구 양천로 201,37.57312393,126.8223877,양천로28길,마곡동,신방화,804.1,0,서남환경공원.마곡청구아파트,5.2
1408, 등촌5단지아파트 버스정류장,강서구,서울특별시 강서구 공항대로 329,37.55819702,126.8442612,강서로54길,등촌동,발산,584.2,0,등촌주공5단지아파트,31.7
1409, 증미역 3번출구뒤(등촌두산위브센티움오피스텔),강서구,서울특별시 강서구 양천로 지하 560,37.55746078,126.8614578,양천로62길,등촌동,증미,43.0,4,강서소방서.이마트.증미역,34.4
1410, 염창동 한마음아파트 앞,강서구,서울특별시 강서구 양천로 637,37.55425262,126.8675613,양천로,염창동,등촌,434.6,0,태영송화아파트,42.1
1411, 대림경동아파트앞,강서구,서울특별시 강서구 허준로 121,37.564785,126.8546448,허준로,가양동,가양,377.1,0,가양도시개발5단지아파트,74.0
1412, 가양레포츠센터 앞,강서구,서울특별시 강서구 양천로61길 101,37.55947876,126.8643799,양천로61길,가양동,증미,315.7,1,가양도시개발9단지.세현고등학교,54.6
1413, 황금내근린공원,강서구,서울특별시 강서구 허준로 221-40,37.56192398,126.8641663,허준로,가양동,증미,539.1,1,가양도시개발9단지.세현고등학교,246.5
1414, 발산역 6번 출구 뒤,강서구,서울특별시 강서구 공항대로 280,37.55817795,126.8384552,강서로,내발산동,발산,83.7,2,발산역7번출구,64.5
1415, 명덕고교입구(영종빌딩),강서구,서울특별시 강서구 강서로 304,37.55291367,126.8365707,강서로,내발산동,우장산,460.7,4,명덕고등학교.웰튼병원,5.6
1416, 우장산역 1번출구옆(우장산아이파크105동앞),강서구,서울특별시 강서구 강서로 지하 262,37.54890823,126.8365631,강서로45나길,화곡동,우장산,26.7,5,우장산역,37.3
1417, 화곡역 버스정류장,강서구,서울특별시 강서구 화곡로 157,37.54098129,126.8385468,화곡로,화곡동,화곡,179.2,3,화곡역7번출구,33.4
1418, 화곡역 6번출구,강서구,서울특별시 강서구 화곡로 지하 168,37.54141235,126.8402252,강서로,화곡동,화곡,23.6,6,화곡역,94.3
1419, 화곡역 1번 출구 앞,강서구,서울특별시 강서구 화곡로 지하 168,37.542099,126.8402176,강서로,화곡동,화곡,68.5,10,참병원,65.2
1420, 화곡본동시장 버스정류장,강서구,서울특별시 강서구 화곡로 196,37.54275131,126.8426209,화곡로,화곡동,화곡,235.2,2,본동시장.새마을금고본점,13.1
1421, 등촌역 7번출구,강서구,서울특별시 강서구 공항대로 지하 529,37.55110931,126.8637085,등촌로57길,등촌동,등촌,182.9,0,등촌역1번출구,115.2
1422, 강서구의회,강서구,서울특별시 강서구 등촌로 185,37.54653168,126.8625488,등촌로51가길,등촌동,등촌,533.0,1,강서구의회,37.6
1423, 등촌2파출소,강서구,서울특별시 강서구 등촌로 167,37.54478836,126.8619995,등촌로,등촌동,등촌,725.9,0,아이파크아파트.백석중학교.실로암안과,41.5
1424, 등촌2동주민센터,강서구,서울특별시 강서구 등촌로 143,37.54126358,126.8633728,등촌로,등촌동,등촌,1059.7,0,등촌2동주민센터.등촌동대림아파트,83.3
1425, 용문사 버스정류장,강서구,서울특별시 강서구 등촌로 95,37.53650665,126.8633347,등촌로,등촌동,목동,1167.5,0,영도중.강서고입구.기아양서대리점,44.9
1426, 목동사거리 버스정류장,강서구,서울특별시 강서구 등촌로 19,37.53139877,126.8636093,곰달래로60길,화곡동,목동,603.4,1,목동사거리,26.1
1427, 곰달래 문화복지센터 1-1,강서구,서울특별시 강서구 강서로5길 50,37.52906036,126.8484802,강서로5길,화곡동,까치산,339.9,1,화곡전화국,70.4
1428, 곰달래 문화복지센터 1-2,강서구,서울특별시 강서구 강서로5길 50,37.52891922,126.8480835,강서로5길,화곡동,까치산,339.5,1,화곡전화국,58.3
1429, 볏골공원,강서구,서울특별시 강서구 까치산로4길 22,37.54146957,126.84478,까치산로4길,화곡동,화곡,381.7,1,본동시장,159.0
1430, 신방화역환승주차장,강서구,서울특별시 강서구 마곡서1로 111-12,37.56728363,126.8182755,마곡서1로,마곡동,신방화,150.5,1,신방화역5번출구,64.7
1431, 송정역 1번출구,강서구,서울특별시 강서구 공항대로3길 18,37.56153107,126.8106995,공항대로5길,공항동,송정,118.9,0,송정역,38.6
1432, 마곡역1번출구,강서구,서울특별시 강서구 마곡동 727-716,37.56020737,126.8241425,마곡중앙로,마곡동,마곡,115.4,0,마곡역,16.5
1433, 마곡역교차로,강서구,서울특별시 강서구 마곡동 728-168,37.55831146,126.8265228,마곡중앙로,마곡동,마곡,228.4,3,마곡엠밸리14단지아파트,94.2
1434," 발산역 1번, 9번 인근 대여소",강서구,서울특별시 강서구 공항대로 281,37.55894852,126.8371735,공항대로,마곡동,발산,58.5,2,발산역9번출구,44.1
1435, 기쁜우리복지관,강서구,서울특별시 강서구 가양동 1458-15 ,37.56925964,126.8484192,허준로,가양동,양천향교,633.6,1,한보구암마을아파트,60.1
1436, 강서구청,강서구,서울특별시 강서구 화곡로 302,37.55065918,126.8497696,화곡로54길,화곡동,가양,1261.0,1,강서구청후문,46.2
1437, 가양역 8번출구,강서구,서울특별시 강서구 양천로 지하 485,37.56103516,126.8548126,양천로,등촌동,가양,50.5,3,가양역,74.8
1438, 서서울모터리움 앞,강서구,서울특별시 강서구 양천로53길 30,37.56585312,126.8465958,양천로,가양동,양천향교,543.0,0,강서한강자이아파트,146.1
1439, 양천향교역 7번출구앞,강서구,서울특별시 강서구 양천로 지하 341,37.56768036,126.8408966,양천로,마곡동,양천향교,86.8,0,양천향교역,19.0
1440, 강서면허시험장 앞,강서구,서울특별시 강서구 남부순환로 171,37.54969406,126.819664,남부순환로,외발산동,마곡,1271.4,0,강서면허시험장.메이필드호텔,14.9
1441, 공항초등학교건너편,강서구,서울특별시 강서구 마곡서1로 68,37.56267929,126.8204727,마곡중앙3로,마곡동,마곡,519.6,0,강서세무서.공항초교,46.9
1442, 방화동강서기동대앞,강서구,서울특별시 강서구 방화대로34길 65,37.57049942,126.8200836,방화대로34길,방화동,신방화,450.7,0,마곡푸르지오아파트,119.6
1443, 마곡중학교 후문,강서구,서울특별시 강서구 마곡중앙5로 58,37.56844711,126.8216476,양천로30길,마곡동,신방화,457.3,0,마곡중학교정문,12.2
1444, 강서구립등빛도서관,강서구,서울특별시 강서구 강서로62길 48,37.56256866,126.8424606,강서로56나길,등촌동,양천향교,652.7,1,등촌3동주공4단지아파트,54.1
1445, 마곡수명산파크3단지 교차로,강서구,서울특별시 강서구 수명로 72,37.55350876,126.8258667,수명로,내발산동,마곡,741.7,1,수명산파크상가,29.4
1446, 마곡엠밸리10단지 앞,강서구,서울특별시 강서구 마곡중앙1로 72,37.56029129,126.8187561,공항대로,마곡동,마곡,591.4,0,"공항중학교.마곡엠밸리9,10단지",134.8
1447, 염창역 1번 출구,강서구,강서구 공항대로 625,37.54719925,126.8744888,목동중앙북로,염창동,염창,47.7,0,도시가스사업소,52.1
1448, 강서구보건소,강서구,강서구 공항대로 571 ,37.54917908,126.8687973,공항대로,염창동,등촌,318.5,1,등촌역.강서보건소,23.2
1449, 염창동 새마을금고 건너편,강서구,강서구 양천로 696,37.55004883,126.8731613,양천로,염창동,염창,378.7,2,새마을금고,23.3
1450, 가양3동 주민센터,강서구,강서구 허준로 202,37.56124878,126.8605804,허준로,가양동,증미,443.5,1,가양3동주민센터,23.7
1451, 강서구청사거리(SH타워),강서구,강서구 공항대로 411 ,37.55673599,126.8530731,화곡로,등촌동,가양,530.9,0,경복비즈니스고등학교,94.0
1452, 강서구청사거리(부민병원),강서구,강서구 공항대로 395 ,37.55661392,126.8511658,공항대로,등촌동,가양,604.7,1,KBS스포츠월드,62.1
1453, 대한항공 인력개발센터,강서구,강서구 공항대로 453 ,37.55437851,126.8575363,공항대로51길,등촌동,증미,513.8,0,하이웨이주유소.강서대학교,146.7
1454, 수명중?고교,강서구,"강서구 수명로1길 16, 401동 앞",37.55010986,126.8236771,수명로,내발산동,마곡,1128.9,0,수명중.고등학교,43.7
1455, 개화산역 2번 출구,강서구,강서구 양천로 22,37.57247162,126.8061676,양천로,방화동,개화산,8.1,0,개화산역,8.8
1456, 마곡엠밸리 15단지(1502동) 건너편,강서구,강서구 마곡중앙로 36,37.55746841,126.8297195,마곡중앙2로,마곡동,마곡,482.9,1,마곡역교차로,239.4
1457, 농수산식품공사 (강서지사),강서구,강서구 발산로 40,37.55104446,126.8184967,남부순환로,외발산동,마곡,1185.7,0,강서면허시험장,90.5
1458, KBS 스포츠월드,강서구,강서구 공항대로 376,37.55687714,126.8488083,화곡로61길,화곡동,가양,707.1,0,KBS스포츠월드,37.7
1459, KC 대학교,강서구,강서구 까치산로 24길 47,37.54832077,126.8534012,까치산로22길,화곡동,증미,1259.0,0,강서대학교,220.1
1460, 마곡13단지,강서구,강서구 공항동 1343,37.55644989,126.815979,방화대로7나길,공항동,송정,633.5,1,다솔마을,168.3
1461, 등촌9단지,강서구,강서구 화곡로 63가길 92 (등촌동 704),37.56290054,126.8494721,양천로,등촌동,가양,471.1,1,등촌동주공9단지,24.8
1462, 송정중학교,강서구,강서구 공항동 1342,37.55472946,126.8160934,방화대로5나길,공항동,송정,803.6,1,송정중학교정문,25.1
1463, 강서수산물도매시장,강서구,강서구 외발산동 424,37.55302048,126.818367,발산로,외발산동,마곡,1011.6,0,강서농수산물도매시장,57.8
1464, 롯데중앙연구소,강서구,강서구 마곡동 301-3,37.57138062,126.8283386,마곡중앙로,마곡동,마곡나루,460.4,0,롯데R&D센터,31.8
1465, 마곡역 교차로(2번출구),강서구,강서구 마곡동 727-747 ,37.5605011,126.8266525,마곡중앙로,마곡동,마곡,112.1,0,마곡역,44.8
1466," 마곡역 버스정류장(마곡나루역1번출구, 웰튼병원 방면)",강서구,강서구 마곡동 727-925,37.5602417,126.8271637,마곡중앙로,마곡동,마곡,151.7,1,마곡역,25.8
1467, 마곡수명산파크 209동 건너편,강서구,강서구 내발산동 741-8,37.55545044,126.8268967,수명로6길,내발산동,마곡,540.6,1,마곡수명산파크2단지,73.4
1468, 마곡센트럴타워 1차,강서구,강서구 마곡동 727-1136,37.55947113,126.832077,마곡동로3길,마곡동,발산,503.4,0,마곡동로사거리,37.4
1469, 센서텍㈜,강서구,강서구 마곡동 727-457,37.56330109,126.8368225,마곡중앙8로5길,마곡동,발산,527.3,0,LG사이언스파크,230.9
1470, 코오롱One&Only타워,강서구,강서구 마곡동 727-525,37.56412888,126.8343124,마곡중앙10로,마곡동,마곡나루,554.7,0,LG사이언스파크,106.0
1471, 서울식물원(문화센터) 건너편,강서구,강서구 마곡동 727-286,37.56824112,126.8358307,마곡동로8길,마곡동,양천향교,486.3,0,서울식물원.식물문화센터,78.5
1472, 엠펠리체 호텔 건너편,강서구,강서구 마곡동 727-1187,37.5602417,126.8358078,마곡중앙6로,마곡동,발산,245.6,0,발산역9번출구,172.7
1473, LG 사이언스파크,강서구,강서구 마곡동 727-925,37.56254959,126.8274384,마곡중앙로,마곡동,마곡,316.1,0,마곡역,137.5
1474, 우장산역 3번출구,강서구,강서구 화곡동 1006-2,37.54782104,126.8361282,강서로,화곡동,우장산,106.4,3,화곡중고등학교,71.2
1475, 개화광역환승센터,강서구,강서구 개화동 492-22,37.57844925,126.7989731,개화동로,개화동,개화,74.6,0,개화검문소(가상),71.3
1476, 마곡나루역 5번출구 뒤편,강서구,강서구 마곡동 761-5,37.56520081,126.8273163,마곡중앙로,마곡동,마곡나루,305.4,0,마곡나루역5번출구,18.8
1477, 마곡 엠밸리2단지,강서구,강서구 마곡동 735-1,37.56917953,126.8194428,마곡서1로,마곡동,신방화,310.6,0,마곡엠밸리3단지입구,134.9
1478,서울도시가스 앞,강서구,강서구 공항대로 607 ,37.54748535,126.8720245,공항대로,염창동,염창,262.7,1,목2동주민센터,106.9
1479,홈플러스(강서점),강서구,강서구 화곡로 398 ,37.55852127,126.8540115,화곡로,등촌동,가양,320.9,2,가양역.마포중고등학교,48.2
1480,강서공업고등학교 앞,강서구,"강서구 방화대로47가길 22, 411동 앞",37.57631683,126.8164978,방화대로49길,방화동,방화,354.7,0,강서공업고등학교,77.7
1481,한강아파트,강서구,강서구 허준로 23,37.57036972,126.8444138,허준로,가양동,양천향교,350.4,0,가양한강타운아파트,55.4
1482,강서한강자이타워 앞,강서구,강서구 양천로 401 ,37.56468201,126.8489075,양천로55길,가양동,가양,611.3,0,등촌동대림아파트,54.8
1483,강변아파트 310동 앞,강서구,강서구 가양동 1459-8 ,37.56458664,126.8569183,허준로,가양동,가양,416.1,0,가양2동강변아파트,121.8
1484,라이품 공영주차장 앞,강서구,강서구 강서로 515,37.57131958,126.8416672,강서로,가양동,양천향교,327.5,0,양천향교입구,124.9
1485,가로공원공영주차장 1번 출구,강서구,강서구 가로공원로 193,37.53736115,126.8374481,가로공원로77길,화곡동,화곡,532.2,1,가로공원.나누리병원,51.5
1486,화곡터널입구교차로,강서구,강서구 가로공원로 238 ,37.53835678,126.8423615,강서로23길,화곡동,화곡,388.5,0,화원중학교,142.2
1487,우장초등학교 앞,강서구,강서구 화곡로 263,37.54853439,126.8466721,화곡로43길,화곡동,화곡,953.2,0,우장초등학교,134.5
1488,마곡나루역 2번 출구,강서구,강서구 마곡중앙5로 6 ,37.56692505,126.8274384,마곡중앙로,마곡동,마곡나루,187.5,0,마곡나루역,33.3
1489,롯데 R&D 센터,강서구,강서구 마곡동 301-2 ,37.57094193,126.8283157,마곡중앙로,마곡동,마곡나루,413.6,0,롯데R&D센터,79.9
1490,LG유플러스 마곡사옥,강서구,강서구 마곡중앙8로 71,37.56133652,126.8339005,마곡중앙8로,마곡동,발산,450.8,0,LG사이언스파크,76.0
1491,마곡수명산파크1단지,강서구,강서구 마곡동 728-148 ,37.55519104,126.8314667,마곡동로1길,마곡동,발산,665.7,0,수명산파크1단지,244.4
1492,마곡문화공원,강서구,강서구 마곡중앙8로 20,37.56121063,126.8303452,마곡중앙6로,마곡동,마곡,447.5,0,마곡동로사거리,218.6
1493,힐스테이트에코,강서구,강서구 마곡동 727-1120,37.55965805,126.8296051,마곡중앙6로,마곡동,마곡,371.9,1,마곡역교차로,108.2
1494,등촌1-10단지 교차로,강서구,강서구 강서로 419,37.56320572,126.8393631,마곡중앙8로7길,마곡동,발산,532.9,0,꽃단지,36.7
1495,마곡 필네이처,강서구,강서구 마곡동 727-1190,37.56089401,126.8366928,마곡중앙6로,마곡동,발산,269.0,0,발산역2번출구,187.4
1496,(재)FITI시험연구원,강서구,강서구 마곡동 727-211,37.56848526,126.8385696,마곡동로10길,마곡동,양천향교,244.4,0,겸재정선미술관.서울식물원,162.1
1497,서울식물원 식물문화센터,강서구,강서구 마곡동 727-305,37.56883621,126.8356323,마곡동로8길,마곡동,양천향교,506.2,0,서울식물원.식물문화센터,77.3
1498,서울식물원 잔디마당 앞,강서구,강서구 마곡동 727-558,37.5639267,126.8306427,마곡중앙6로,마곡동,마곡나루,391.7,0,마곡나루역4번출구.서울식물원,279.6
1499,마곡나루역 3번 출구,강서구,강서구 마곡동 372-23,37.56580353,126.8280792,마곡중앙로,마곡동,마곡나루,211.2,0,마곡나루역4번출구.서울식물원,86.7
1500,넥센 유니버시티 앞,강서구,강서구 마곡동 301-2,37.56948471,126.8280945,마곡중앙로,마곡동,마곡나루,268.7,0,롯데R&D센터,92.0
1501,마곡메가박스 앞,강서구,강서구 마곡동 727-1179,37.55912781,126.8349533,마곡동로4길,마곡동,발산,247.0,1,마곡동로사거리,34.1
1502,명덕고교,강서구,강서구 마곡동 728-46,37.55524063,126.8347168,마곡동로2길,마곡동,발산,454.8,0,명덕고등학교.서울스타병원,261.1
1503,마곡수명산 1-2단지,강서구,강서구 마곡동 728-350,37.5553093,126.8298569,수명로6길,마곡동,마곡,666.6,0,수명산파크1단지,209.8
1504,마곡13단지 정문 앞,강서구,강서구 마곡동 730-417 ,37.5586319,126.8199158,마곡중앙1로,마곡동,마곡,518.2,0,마곡13단지힐스테이트상가,74.8
1505,마곡 공공청사,강서구,강서구 마곡서로 101 ,37.56229401,126.8239517,마곡서로,마곡동,마곡,269.0,0,강서세무서,155.5
1506,까치산역 3번 출구,강서구,강서로 45,37.53158951,126.8466415,강서로,화곡동,까치산,20.1,4,까치산역2번출구,27.0
1507,수명산파크1단지교차로,강서구,강서로47길 142,37.55363083,126.8286133,수명로2길,내발산동,마곡,779.1,1,수명산파크5단지아파트,44.1
1508,마곡레포츠센터,강서구,양천로 251,37.57297516,126.8324432,양천로,마곡동,마곡나루,677.8,0,마곡실내배드민턴장,54.5
1509,마곡수명산파크5-6단지,강서구,강서구 내발산동 751-1,37.55061722,126.8268814,수명로2길,내발산동,우장산,858.8,0,마곡수명산파크5단지6단지,158.1
1510,강서구민올림픽체육센터,강서구,화곡로65길 62,37.55990601,126.8504257,공항대로43길,등촌동,가양,392.4,0,강서구민올림픽체육센터,15.4
1511,동신아파트 104동 앞,강서구,강서로532,37.57204437,126.8440018,허준로,가양동,양천향교,470.0,1,가양한강타운아파트,171.6
1512,강서세무서 앞,강서구,마곡서1로 60,37.56209183,126.8209686,마곡중앙3로,마곡동,마곡,448.9,1,강서세무서.공항초교,21.3
1513,수명초등학교,강서구,수명로1길 84,37.5525589,126.8231125,수명로1길,내발산동,마곡,871.0,1,강서농수산물도매시장종점,220.7
