,보관소(대여소)명,자치구,상세주소,위도,경도,shortest_road,법정동,shortest_subway,shortest_subway_meter,public_place_in_100m,shortest_bus,shortest_bus_meter
63, 평창동주민센터 앞,종로구,서울특별시 종로구 평창문화로 65 평창동 주민센터,37.60627365,126.9683228,평창12길,평창동,무악재,3101.0,1,서울예술고등학교.평창동주민센터,82.4
64,창신두산아파트,종로구,서울특별시 종로구 지봉로5길 7 두산아파트,37.57376099,127.0139389,종로53길,창신동,동묘앞,253.4,0,동대문,118.0
65,이화공영주차장,종로구,서울특별시 종로구 이화동 13-2,37.57660675,127.0055695,율곡로19길,이화동,동대문,683.7,0,충신시장,181.5
66,서울특별시 교육청,종로구,서울특별시 종로구 송월길 48 서울특별시교육청,37.5695076,126.9670105,경교장길,신문로2가,서대문,415.8,0,서울시교육청,33.6
67,서울특별시 중부교육지원청,종로구,서울특별시 종로구 대학로 8 수도빌딩,37.57185364,127.0023575,대학로2길,효제동,종로5가,112.3,0,종로5가.3번출구,53.7
68,파크팰리스,종로구,서울특별시 종로구 사직로8길 20 경희궁 파크팰리스,37.57455063,126.9705505,사직로8길,내수동,경복궁,295.6,0,적선동,145.0
69,안국동사거리(신),종로구,서울특별시 종로구 안국동 175-92,37.57580566,126.9833908,인사동길,안국동,안국,196.0,0,인사동.북촌,37.3
70,종로타워빌딩,종로구,서울특별시 종로구 공평동 70-4,37.57051086,126.9833679,우정국로,공평동,종각,55.3,0,종각.공평유적전시관,120.7
71,종로3가역 8번출구,종로구,서울특별시 종로구 돈화문로10길 2,37.5724678,126.99189,돈화문로8길,묘동,종로3가,95.8,0,종로3가.1.3.5호선,156.9
72,종묘,종로구,서울특별시 종로구 종로 153-2 가로판매대,37.5707016,126.994812,돈화문로4길,종로3가,종로3가,283.9,0,종로4가.종묘,23.0
73,세운상가,종로구,서울특별시 종로구 종로 152,37.5703125,126.994545,돈화문로4길,종로3가,종로3가,281.4,0,종로4가.종묘,12.7
74,종로플레이스,종로구,서울특별시 종로구 창경궁로 120 종로플레이스,37.57320023,126.997963,창경궁로16길,인의동,종로5가,426.1,0,종로4가.혜화경찰서,75.9
75,종로5가역 4번출구,종로구,서울특별시 종로구 종로5가 79-2,37.57117462,127.0022278,대학로2길,종로5가,종로5가,43.4,0,종로5가.3번출구,29.8
76,동대문역6번출구,종로구,서울특별시 종로구 종로 302 1호선 동대문역,37.57146072,127.010788,종로46가길,창신동,동대문,92.3,0,동대문역5번출구,93.9
77,동묘앞역 6번출구,종로구,서울특별시 종로구 창신동 397-6,37.5715332,127.0156174,지봉로,창신동,동묘앞,141.0,0,동묘역앞,16.9
78,창신3동주민센터,종로구,서울특별시 종로구 창신동 23-825,37.57772446,127.0152512,지봉로,창신동,창신,214.9,1,숭인1동주민센터,43.9
79,창신역2번 출구,종로구,서울특별시 종로구 창신동 1-105,37.57998657,127.0150604,지봉로17길,창신동,창신,39.5,0,쌍용아파트입구.창신역,58.9
80,국립어린이과학관,종로구,서울특별시 종로구 와룡동 2-85,37.58194733,126.9973679,창경궁로27길,와룡동,혜화,397.7,0,명륜3가.성대입구,117.6
81, 성균관대입구사거리,종로구,서울특별시 종로구 명륜2가 197-4,37.58327484,126.9988556,창경궁로,명륜2가,혜화,283.8,0,성대입구,0.9
82,혜화역 1번출구,종로구,서울특별시 종로구 대학로 144 중원빌딩,37.58385468,127.0018539,대학로14길,혜화동,혜화,168.6,0,혜화역1번출구,45.1
83,성균관대 정문,종로구,서울특별시 종로구 명륜2가 133,37.58479691,126.9971314,성균관로,명륜2가,혜화,497.9,1,성균관대학교,27.1
84,현대그룹(본사),종로구,서울특별시 종로구 연지동 1-38,37.57583618,127.0006943,율곡로,연지동,종로5가,554.4,1,현대그룹빌딩,14.8
85,광화문 풍림스페이스본 1단지앞,종로구,서울특별시 종로구 사직동 9-2,37.57529068,126.968956,사직로8길,사직동,경복궁,407.4,0,사직단,83.2
86,독립문역 2번출구 뒤,종로구,서울특별시 종로구 무악동 32-3,37.57501602,126.9575501,통일로,무악동,독립문,52.4,1,독립문역,6.6
87,인왕산 아이파크 정문,종로구,서울특별시 종로구 무악동 60-5,37.57666779,126.9558487,통일로,무악동,독립문,286.9,0,한성과학고,45.0
88,서울미술관,종로구,서울특별시 종로구 부암동 202-1,37.59512711,126.9634934,창의문로12길,부암동,무악재,1840.3,0,자하문터널입구.석파정,53.4
89,HW컨벤션센터 앞,종로구,서울특별시 종로구 부암동 134-2,37.59725952,126.963089,자하문로,부암동,무악재,2008.7,0,하림각,48.4
90,구기치안센터 앞,종로구,서울특별시 종로구 비봉길 12,37.60950089,126.9566803,비봉길,구기동,녹번,2078.3,1,구기동현대빌라,20.7
91,로제우스 레포츠센터,종로구,서울특별시 종로구 구기동 110-22,37.60760117,126.9576874,진흥로,구기동,녹번,2073.4,0,인왕빌딩,36.7
92,종로2가 사거리,종로구,서울특별시 종로구 종로 98 와이.비.엠 종로빌딩,37.56999207,126.9883423,삼일대로20길,종로2가,종로3가,354.6,0,인사동.탑골공원,42.7
93, 쌍용아파트2단지 정문,종로구,서울특별시 종로구 낙산길198(창신3동),37.58131409,127.0126801,낙산길,창신동,창신,291.3,0,창신쌍용2단지.한성대후문,8.8
94, 청계3가 사거리,종로구,서울특별시 종로구 관수동91-1,37.56855774,126.9921188,청계천로,관수동,을지로3가,251.8,0,청계2가.수표교,130.5
