gid,lbl,val,geometry
다사472447,162.00,162.0,"POLYGON ((126.9026502483316 37.50005516008664, 126.90264306786914 37.50095647756355, 126.90377436956135 37.50096219300892, 126.90378153642712 37.50006087534701, 126.9026502483316 37.50005516008664))"
다사461467,679.00,679.0,"POLYGON ((126.89005943796296 37.51801785919867, 126.8900521014048 37.51891917183549, 126.89118367160388 37.518925010224535, 126.89119099455336 37.51802369739878, 126.89005943796296 37.51801785919867))"
다사462462,70.00,70.0,"POLYGON ((126.89122760440843 37.51351713118338, 126.89122028308968 37.51441844470467, 126.89235178557757 37.51442427131062, 126.89235909329066 37.513522957600756, 126.89122760440843 37.51351713118338))"
다사485463,297.00,297.0,"POLYGON ((126.91724492159194 37.514549714490734, 126.9172379128949 37.51545103212129, 126.91836943632279 37.51545660962045, 126.91837643141325 37.51455529180939, 126.91724492159194 37.514549714490734))"
다사467473,388.00,388.0,"POLYGON ((126.89680524810271 37.52346060630596, 126.89679799125763 37.524361919236604, 126.89792964507005 37.52436769370531, 126.89793688830274 37.52346638058779, 126.89680524810271 37.52346060630596))"
다사471456,339.00,339.0,"POLYGON ((126.90145420248624 37.50816128461172, 126.90144700554261 37.50906260065184, 126.9025784293126 37.50906832859879, 126.90258561265411 37.50816701237329, 126.90145420248624 37.50816128461172))"
다사485444,327.00,327.0,"POLYGON ((126.9173780275386 37.497424653100765, 126.91737102477042 37.49832597337218, 126.91850228977641 37.498331547442525, 126.91850927894949 37.49743022699068, 126.9173780275386 37.497424653100765))"
다사476467,305.00,305.0,"POLYGON ((126.90703282079171 37.51810429401003, 126.9070256883652 37.5190056094441, 126.90815726339352 37.51901128522889, 126.90816438221114 37.51810996961115, 126.90703282079171 37.51810429401003))"
다사498471,505.00,505.0,"POLYGON ((126.93189991039634 37.521831929920154, 126.93189307615141 37.522733248758264, 126.93302471245885 37.52273868675688, 126.93303153309215 37.5218373677428, 126.93189991039634 37.521831929920154))"
다사455471,561.00,561.0,"POLYGON ((126.88324043048218 37.52158784750978, 126.88323301095048 37.52248915844901, 126.88436463362005 37.522495062643394, 126.88437203954071 37.52159375151308, 126.88324043048218 37.52158784750978))"
다사488480,19.00,19.0,"POLYGON ((126.92052095585707 37.529888803934256, 126.92051398270156 37.53079011974224, 126.92164573846819 37.53079566777557, 126.92165269800678 37.52989435178806, 126.92052095585707 37.529888803934256))"
다사460462,831.00,831.0,"POLYGON ((126.88896462762284 37.51350544583431, 126.88895727909285 37.51440675897742, 126.89008878092788 37.51441260726027, 126.89009611585229 37.513511293927905, 126.88896462762284 37.51350544583431))"
다사497473,319.00,319.0,"POLYGON ((126.9307545919868 37.523629118440525, 126.93074774352014 37.52453043682438, 126.93187940674824 37.52453588601762, 126.93188624160206 37.523634567457414, 126.9307545919868 37.523629118440525))"
다사484465,64.00,64.0,"POLYGON ((126.91609936716276 37.5163467610938, 126.91609234423353 37.51724807826549, 126.91722389456424 37.5172536669654, 126.91723090388565 37.516352349612845, 126.91609936716276 37.5163467610938))"
다사497470,N/A,0.0,"POLYGON ((126.93077513555652 37.520925162455164, 126.93076828800498 37.5218264812559, 126.93189991039634 37.521831929920154, 126.93190674433686 37.52093061094308, 126.93077513555652 37.520925162455164))"
다사474433,11.00,11.0,"POLYGON ((126.90501293716163 37.4874481153249, 126.90500578835169 37.4883494351178, 126.90613690038234 37.48835512631684, 126.906144035604 37.48745380633973, 126.90501293716163 37.4874481153249))"
다사463482,676.00,676.0,"POLYGON ((126.89221287716445 37.53154920536758, 126.89220556293827 37.532450516295214, 126.89333733799236 37.532456335827916, 126.89334463860077 37.53155502471198, 126.89221287716445 37.53154920536758))"
다사482444,391.00,391.0,"POLYGON ((126.91398427517973 37.49740786643896, 126.91397723162636 37.498309186167006, 126.91510849569481 37.49831479273442, 126.9151155256531 37.497413472824896, 126.91398427517973 37.49740786643896))"
