,보관소(대여소)명,자치구,상세주소,위도,경도,shortest_road,법정동,shortest_subway,shortest_subway_meter,public_place_in_100m,shortest_bus,shortest_bus_meter,public_transport_in_100m,subway_count_in_100m,bus_count_in_100m,schools_in_100m,unis_in_100m,total_schools_in_100m,public_places_and_schools_in_100m,대여소_ID,borrow_count,return_count,balance_rate,borrow_count_weekday,borrow_count_weekend,return_count_weekday,return_count_weekend
52, 동대문 종합시장 버스정류장,종로구,서울특별시 종로구 종로 239 동대문 종합시장 버스정류장,37.57123947,127.0044098,대학로2길,종로5가,종로5가,228.9,0,종로6가,9.9,5,0,5,0,0,0,0,ST-1605,13689,13161,0.0196648044692737,10687,3002,10246,2915
53, 종로오가 지하쇼핑센터 14번출구,종로구,서울특별시 종로구 종로 지하 200 종로5가 지하쇼핑센터 14번출구,37.57114029,127.0006714,종로,종로5가,종로5가,106.7,0,종로5가,16.9,4,0,4,0,0,0,0,ST-1606,23199,23222,-0.0004954654143598,18001,5198,17903,5319
54, 종로2가 버스정류장 (종각방향),종로구,서울특별시 종로구 종로 79-1 종로2가 버스정류장 (종각방향),37.57035828,126.9863815,삼일대로,종로2가,종각,306.3,1,종로2가,1.9,7,0,7,0,0,0,1,ST-1607,23404,23339,0.0013905825471193,18885,4519,18955,4384
55, 종로6가역 버스정류장(동대문 방향),종로구,서울특별시 종로구 종로 254-1 삼익한의원,37.570961,127.0060577,종로,종로5가,동대문,329.7,0,종로6가,13.2,4,0,4,0,0,0,0,ST-1608,20577,20665,-0.0021337471509626,18019,2558,18017,2648
56, 숭인2동 주민센터 입구,종로구,서울특별시 종로구 종로 383-1 숭인2동 주민센터 입구 (이강3대냉면),37.57447052,127.0198288,종로,숭인동,동묘앞,363.4,1,동묘앞,28.8,5,0,5,0,0,0,1,ST-1609,26709,27077,-0.0068419291265385,20003,6706,20455,6622
57, 종로꽃시장 입구 옆,종로구,서울특별시 종로구 율곡로 지하 308 종로?시장 입구 옆,37.57131958,127.0072098,종로43길,종로6가,동대문,224.2,2,동대문종합시장,95.8,1,0,1,0,0,0,2,ST-1610,19751,20103,-0.0088322376674863,16823,2928,16994,3109
58, 광화문역 5번출구,종로구,서울특별시 종로구 세종대로 152 일민미술관,37.56989288,126.9775696,종로,세종로,광화문,148.8,1,광화문,58.0,2,0,2,0,0,0,1,ST-1611,58626,53975,0.0413051393859734,45613,13013,41084,12891
59, 서울지방경찰청,종로구,서울특별시 종로구 사직로8길 31 서울지방경찰청,37.57436371,126.9723663,사직로8길,내자동,경복궁,186.2,1,서울경찰청.경복궁역,171.9,0,0,0,0,0,0,1,ST-1619,22973,21409,0.0352395115136767,19170,3803,17791,3618
60, 신영동삼거리(북악터널방향),종로구,서울특별시 종로구 평창문화로 6-4 신영동삼거리(북악터널방향),37.60351181,126.9620667,평창문화로,신영동,홍제,2278.4,0,세검초등학교,96.6,1,0,1,1,0,1,1,ST-1752,1833,1748,0.0237363864842222,1422,411,1319,429
61, 삼청동 골목,종로구,서울특별시 종로구 팔판길 46 삼청동 골목,37.58419037,126.9816971,삼청로,삼청동,안국,917.8,0,삼청동주민센터,20.3,2,0,2,0,0,0,0,ST-1756,18460,18120,0.0092946965554948,14083,4377,13878,4242
62, 삼청공원 앞,종로구,서울특별시 종로구 삼청동 25-32,37.58760452,126.9835968,북촌로,삼청동,안국,1245.7,1,삼청공원삼거리.옥호정터,164.9,0,0,0,0,0,0,1,ST-1759,3209,1904,0.2552317621748484,2494,715,1472,432
63, 평창동주민센터 앞,종로구,서울특별시 종로구 평창문화로 65 평창동 주민센터,37.60627365,126.9683228,평창12길,평창동,무악재,3101.0,1,서울예술고등학교.평창동주민센터,82.4,1,0,1,1,0,1,2,ST-2019,3840,3125,0.1026561378320172,2878,962,2409,716
64,창신두산아파트,종로구,서울특별시 종로구 지봉로5길 7 두산아파트,37.57376099,127.0139389,종로53길,창신동,동묘앞,253.4,0,동대문,118.0,0,0,0,0,0,0,0,ST-1798,4551,4371,0.0201748486886348,3453,1098,3209,1162
65,이화공영주차장,종로구,서울특별시 종로구 이화동 13-2,37.57660675,127.0055695,율곡로19길,이화동,동대문,683.7,0,충신시장,181.5,0,0,0,0,0,0,0,ST-1799,8907,8617,0.0165487331659438,7230,1677,7020,1597
66,서울특별시 교육청,종로구,서울특별시 종로구 송월길 48 서울특별시교육청,37.5695076,126.9670105,경교장길,신문로2가,서대문,415.8,0,서울시교육청,33.6,1,0,1,0,0,0,0,ST-1800,3457,1781,0.3199694539900725,3117,340,1578,203
67,서울특별시 중부교육지원청,종로구,서울특별시 종로구 대학로 8 수도빌딩,37.57185364,127.0023575,대학로2길,효제동,종로5가,112.3,0,종로5가.3번출구,53.7,2,0,2,0,0,0,0,ST-1801,2711,2832,-0.0218293342955078,2368,343,2486,346
68,파크팰리스,종로구,서울특별시 종로구 사직로8길 20 경희궁 파크팰리스,37.57455063,126.9705505,사직로8길,내수동,경복궁,295.6,0,적선동,145.0,0,0,0,0,0,0,0,ST-1802,21026,19237,0.0444328539850483,16649,4377,15115,4122
