"아이디","새주소 아이디","시설 아이디","시설명","위도","경도","건물군여부","시설용도분류","소재지 도로명주소","소재지 지번주소","기타","국가지점번호","데이터 기준일자"
"2797","","P0667","한라공원","37.47567","126.91474","","FU_BI","서울특별시 관악구 난곡로41길 28","서울특별시 관악구 신림동 758-13","","다사 4825 4198","2022-12-07 00:00:00.0"
"2798","","P0668","서광공원","37.4752","126.94268","","FU_BI","서울특별시 관악구 복은길 129-7","서울특별시 관악구 신림동 98-395","","다사 5072 4192","2022-12-07 00:00:00.0"
"2803","","P0673","무궁화공원","37.541267","127.09439","","FU_BI","서울특별시 광진구 광나루로52길 12","서울특별시 광진구 구의동 206-10","","다사 6416 4918","2022-12-07 00:00:00.0"
"2804","","P0674","개나리공원","37.538036","127.09237","","FU_BI","서울특별시 광진구 아차산로60길 13-8","서울특별시 광진구 구의동 216-4","","다사 6398 4882","2022-12-07 00:00:00.0"
"2805","","P0675","목련공원","37.5406","127.09051","","FU_BI","서울특별시 광진구 아차산로59길 49","서울특별시 광진구 구의동 223-4","","다사 6382 4910","2022-12-07 00:00:00.0"
"2806","","P0676","푸른동산어린이공원","37.542873","127.09108","","FU_BI","서울특별시 광진구 광나루로44길 32","서울특별시 광진구 구의동 227-13","","다사 6387 4936","2022-12-07 00:00:00.0"
"2807","","P0677","명성공원","37.541447","127.08672","","FU_BI","서울특별시 광진구 자양로26길 45-7","서울특별시 광진구 구의동 249-33","","다사 6349 4920","2022-12-07 00:00:00.0"
"2810","","P0680","장미공원","37.53639","127.09021","","FU_BI","서울특별시 광진구 구의강변로3길 39","서울특별시 광진구 구의동 590-2","","다사 6379 4864","2022-12-07 00:00:00.0"
"2812","","P0682","군자어린이공원","37.55438","127.07287","","FU_BI","서울특별시 광진구 동일로52길 27","서울특별시 광진구 군자동 115-1","","다사 6227 5064","2022-12-07 00:00:00.0"
"2813","","P0683","남일공원","37.555984","127.07371","","FU_BI","서울특별시 광진구 동일로56길 29","서울특별시 광진구 군자동 159-9","","다사 6234 5082","2022-12-07 00:00:00.0"
"2815","","P0685","노유산공원","37.539104","127.0684","","FU_BI","서울특별시 광진구 아차산로32길 17","서울특별시 광진구 자양동 5-7","","다사 6187 4895","2022-12-07 00:00:00.0"
"2816","","P0686","동자공원","37.53201","127.07439","","FU_BI","서울특별시 광진구 자양번영로3길 20-4","서울특별시 광진구 자양동 582-17","","다사 6239 4816","2022-12-07 00:00:00.0"
"2817","","P0687","정말공원","37.533237","127.07834","","FU_BI","서울특별시 광진구 자양로13다길 34","서울특별시 광진구 자양동 619-20","","다사 6274 4829","2022-12-07 00:00:00.0"
"2822","","P0692","약초원공원","37.532936","127.06639","","FU_BI","서울특별시 광진구 뚝섬로32길 62","서울특별시 광진구 자양동 74-24","","다사 6168 4826","2022-12-07 00:00:00.0"
"2824","","P0694","장독골공원","37.535778","127.07769","","FU_BI","서울특별시 광진구 아차산로40길 50-4","서울특별시 광진구 자양동 808-1","","다사 6268 4857","2022-12-07 00:00:00.0"
"1492","","B1492","화인빌딩","37.484943","126.98153","","FU_BA","서울특별시 동작구 사당로 308","서울특별시 동작구 사당동 147-48","","다사 5416 4298","2022-12-07 00:00:00.0"
"1499","","B1499","효성해링턴스퀘어","37.54301","126.95119","","FU_BA","서울특별시 마포구 마포대로 92","서울특별시 마포구 도화동 25-13","","다사 5151 4943","2022-12-07 00:00:00.0"
"1505","","B1505","대화빌딩","37.555862","126.92285","","FU_BA","서울특별시 마포구 양화로 152","서울특별시 마포구 동교동 162-1","","다사 4902 5088","2022-12-07 00:00:00.0"
"1511","","B1511","현대상가","37.570164","126.90385","","FU_BA","서울특별시 마포구 월드컵북로 230","서울특별시 마포구 중동 64-25","","다사 4735 5247","2022-12-07 00:00:00.0"
"2826","","P0696","중곡어린이공원","37.56466","127.07924","","FU_BI","서울특별시 광진구 긴고랑로5길 10","서울특별시 광진구 중곡동 232-44","","다사 6284 5178","2022-12-07 00:00:00.0"
"2843","","P0713","솔길공원","37.489292","126.880615","","FU_BI","서울특별시 구로구 벚꽃로 392","서울특별시 구로구 구로동 391-1","","다사 4524 4351","2022-12-07 00:00:00.0"
