Unnamed: 0,보관소(대여소)명,자치구,상세주소,위도,경도,shortest_road,법정동,shortest_subway,shortest_subway_meter,public_place_in_100m
570, 신내능말공원,중랑구,서울특별시 중랑구 신내역로 165 신내 데시앙포레,37.61670685,127.11026,신내역로1길,신내동,신내,752.5,0
571, 중랑구 중소기업 창업센터,중랑구,서울특별시 중화동 50-8 (구)신한은행 중랑교지점,37.59859085,127.0798187,동일로,중화동,중화,441.6,0
572, 면목4치안센터,중랑구,서울특별시 면목동 646-4 면목4치안센터,37.57402802,127.0805435,면목로27길,면목동,용마산,547.9,0
573, 용마지구대,중랑구,서울특별시 면목동 197-5 용마지구대,37.5799408,127.0793991,동일로,면목동,사가정,808.9,0
574, 중랑전화국 교차로,중랑구,서울특별시 중랑구 면목동 282-8 중랑전화국 교차로,37.59130096,127.0803299,봉우재로20길,면목동,중랑,547.3,1
575, 면목역 3번출구,중랑구,서울특별시 면목동 120-2 면목역 3번출구,37.58890152,127.0872803,면목로73길,면목동,면목,40.8,1
576, 코스트코 상봉점,중랑구,서울특별시 상봉동 160-3 코스트코 상봉점,37.59732056,127.089798,망우로52길,상봉동,망우,309.8,2
577, 상봉역 1번출구,중랑구,서울특별시 중랑구 망우로 297 상봉역 1번출구,37.59655762,127.0858383,면목로96길,상봉동,상봉,74.4,0
578, 화랑대역 7번출구,중랑구,서울특별시 중랑구 묵동 6-3,37.61963654,127.0850449,화랑로,묵동,화랑대,56.9,0
579, 중랑세무서,중랑구,서울특별시 중랑구 망우로 176 중랑세무서,37.59275818,127.07267,중랑천로12길,상봉동,중랑,387.3,0
580, 겸재교 진입부,중랑구,서울특별시 중랑구 겸재로 68 겸재교진입부,37.58565521,127.0750504,사가정로,면목동,중랑,1032.3,0
581, 중랑캠핑숲,중랑구,서울특별시 중랑구 송림길 172 중랑캠핑숲,37.60460281,127.1092529,망우로87길,망우동,양원,251.2,0
582, 한국전력공사(동대문 중랑지사),중랑구,서울특별시 중랑구 동일로 862 한국전력공사(동대문 중랑지사),37.6073494,127.0785904,동일로152길,묵동,먹골,372.8,0
583, 상봉역 2번 출구,중랑구,서울특별시 중랑구 망우로 297 상봉역 2번 출구,37.59632874,127.0858994,면목로96길,상봉동,상봉,76.7,0
584, 상아빌딩(우림시장 교차로),중랑구,서울특별시 중랑구 용마산로 494 상아빌딩(우림시장 교차로),37.59511185,127.1003265,용마공원로,망우동,망우,891.7,0
585, 동원사거리,중랑구,서울특별시 중랑구 겸재로 229 동원사거리,37.58975983,127.0932388,상봉로11길,면목동,면목,523.3,0
586, 상봉터미널2,중랑구,서울특별시 중랑구 용마산로115길 127 용마산로115길 127,37.59733963,127.0930862,망우로,망우동,망우,266.4,0
587, 용마한신아파트사거리,중랑구,서울특별시 중랑구 용마산로 313 용마한신아파트사거리,37.58034897,127.0926514,사가정로,면목동,사가정,373.6,0
588,동양엔파트 앞,중랑구,서울특별시 중랑구 망우로 203 중화동주상복합,37.593853,127.0750732,망우로,중화동,중랑,149.8,0
589,동부시장 북문 앞,중랑구,서울특별시 중랑구 망우로 214 우도빌딩,37.59386826,127.0765228,망우로32길,상봉동,중랑,121.8,1
590,중랑구민회관,중랑구,서울특별시 중랑구 면목로 238 중랑구민회관,37.57407761,127.0850067,면목로,면목동,용마산,159.3,0
591,중화역 4번출구,중랑구,서울특별시 중랑구 동일로 815,37.60305405,127.0790024,동일로,중화동,중화,61.0,0
592,중랑공영차고지 옆,중랑구,서울특별시 중랑구 신내동 63-8,37.61314774,127.1051483,신내역로1가길,신내동,신내,172.9,0
593,두산대림아파트 삼거리,중랑구,서울특별시 중랑구 신내로23길 9 묵동근생빌딩,37.61882401,127.0875702,숙선옹주로,묵동,화랑대,289.2,0
594,sk신내 주유소앞(용마산로),중랑구,서울특별시 중랑구 신내동 353-2,37.61362076,127.1011505,신내로18길,신내동,신내,199.9,0
595,먹골역 7번 출구,중랑구,서울특별시 중랑구 동일로 901 먹골역,37.6114769,127.0773926,동일로161길,묵동,먹골,97.7,0
596,먹골역 4번출구,중랑구,서울특별시 중랑구 동일로 890,37.60982132,127.0781326,동일로,묵동,먹골,97.4,1
597,중화동 우리은행 앞,중랑구,서울특별시 중랑구 동일로 837 우리은행,37.60520172,127.0785828,동일로,중화동,중화,300.9,0
598,동양쇼핑 정류소 앞,중랑구,서울특별시 중랑구 묵동 190-2,37.61535263,127.0784912,숙선옹주로,묵동,태릉입구,416.9,1
599,영성빌딩(PAT),중랑구,서울특별시 중랑구 동일로 824 신성빌딩,37.60408401,127.0792313,동일로138길,중화동,중화,170.8,0
600,중랑역 1번 출구(중화문화복지센터),중랑구,서울특별시 중랑구 중화동 321-129,37.59489059,127.0749512,중랑역로3길,중화동,중랑,102.9,0
601,서울중랑우체국,중랑구,서울특별시 중랑구 망우로 271 서울중랑우체국,37.59581375,127.08284,망우로,상봉동,상봉,202.9,0
602,면목삼익아파트 앞,중랑구,서울특별시 중랑구 동일로 501 면목삼익아파트,37.57598495,127.0796051,동일로,면목동,용마산,680.5,0
603,홈플러스 상봉점 앞,중랑구,서울특별시 중랑구 상봉동 500-1,37.59832764,127.0922699,망우로55길,상봉동,망우,139.4,0
604,면목 홈플러스 2,중랑구,서울특별시 중랑구 사가정로 326 중랑구 실향민협의회,37.58105469,127.0820923,사가정로42길,면목동,사가정,564.3,1
605, 용마지구대 옆,중랑구,서울특별시 중랑구 동일로 566 중랑경찰서용마지구대,37.58111191,127.080101,동일로,면목동,사가정,740.3,0
606, 새우개마을,중랑구,서울특별시 중랑구 신내동278-50,37.61571121,127.1010437,용마산로139가길,신내동,신내,367.6,0
607, 상봉2동 주민센터 앞,중랑구,서울특별시 중랑구 상봉동 126-42,37.59268951,127.0802841,봉우재로19길,상봉동,중랑,443.4,1
608, 동서울농협 앞,중랑구,서울특별시 중랑구 망우로 290,37.59596252,127.0847778,면목로95길,상봉동,상봉,49.7,0
609, 라코지스테이 앞,중랑구,서울특별시 중랑구 망우로232,37.59432602,127.0784607,망우로,상봉동,중랑,217.2,0
610, 신내2동 주민센터 앞,중랑구,서울특별시 중랑구 봉화산로 190,37.60641098,127.0940476,봉화산로50길,신내동,망우,784.6,2
611," 동성1,2차 아파트 앞",중랑구,서울특별시 중랑구 신내로 126 동성아파트,37.61022568,127.096283,봉화산로53길,신내동,신내,679.8,0
612, 한양수자인아파트 앞,중랑구,서울특별시 중랑구 면목동 1085-1,37.58032227,127.0941544,사가정로72길,면목동,사가정,505.4,0
613, 묵동 이마트 앞,중랑구,서울특별시 중랑구 묵동 170-45,37.6132164,127.0773468,동일로,묵동,먹골,288.2,1
614, 망우지구대,중랑구,서울특별시 중랑구 망우로 400,37.59877777,127.0963898,용마산로115길,망우동,망우,404.9,2
615, 중랑데시앙플렉스 앞,중랑구,서울 중랑구 신내역로3길 40-36,37.61755371,127.1039963,경춘북로,신내동,신내,522.5,0
616, 면목동 새싹어린이공원 앞,중랑구,서울특별시 중랑구 동일로92길 57,37.58333206,127.0835495,사가정로39길,면목동,사가정,512.6,0
617, 망우역 2번 출구,중랑구,서울특별시 중랑구 중랑구 망우로55길 11-10(상봉동),37.60025406,127.091713,상봉중앙로1다길,상봉동,망우,80.0,0
618, 방정환교육지원센터 옆,중랑구,서울특별시 중랑구 중랑구 망우로 325(상봉동),37.59780884,127.0884476,동일로120길,상봉동,상봉,341.7,0
619, 신내동 벽산아파트 후문 앞,중랑구,서울특별시 중랑구 용마산로125길 50 벽산아파트,37.6030426,127.100502,용마산로122길,신내동,양원,763.5,0
620, 신내동 한살림 중랑지구 앞,중랑구,서울특별시 중랑구 신내동 574-1,37.60428619,127.0973663,신내로10길,신내동,망우,713.1,1
621, 신내동 한살림 중랑지구 북축,중랑구,서울특별시 중랑구 신내동 574-1,37.60446167,127.0974121,용마산로125가길,신내동,망우,730.3,1
622, 상봉신협 앞,중랑구,서울특별시 중랑구 봉우재로41길 6 청운명가프라임,37.59354401,127.0897903,봉우재로,상봉동,면목,586.9,0
623, 홈플러스 면목점,중랑구,서울특별시 중랑구 동일로 540,37.57984543,127.0824204,사가정로42길,면목동,사가정,547.6,1
624, 신내SK V1센터 앞,중랑구,서울특별시 중랑구 중랑구 신내역로 111,37.6127243,127.11306,구리포천고속도로,신내동,양원,818.4,0
625, 용마복지센터 앞,중랑구,서울특별시 중랑구 중랑구 용마산로 393,37.58686447,127.0953217,용마산로,면목동,면목,716.3,0
626, 망우동 본죽 앞,중랑구,서울특별시 중랑구 망우로 467,37.60064316,127.1040497,망우로,망우동,양원,743.3,3
627, 양원역 1번 출구,중랑구,서울특별시 중랑구 망우동 253-18,37.60655212,127.1070862,양원역로14나길,망우동,양원,72.6,0
628, 양원지구 힐데스하임 앞,중랑구,서울특별시 중랑구 봉화산로 301,37.60924149,127.1062088,용마산로136가길,망우동,양원,329.7,0
629,동원사거리 행복오피스텔 앞,중랑구,서울특별시 중랑구 겸재로 240 행복오피스텔,37.58973694,127.0941925,겸재로,면목동,면목,604.6,0
630, 서울시 북부병원 앞,중랑구,서울특별시 중랑구 양원역로 38 서울시북부병원 및 시립중랑노인전문요양원,37.60405731,127.107254,양원역로8길,망우동,양원,287.6,1
631, 신내 우디안 111동 앞,중랑구,서울특별시 중랑구 신내역로1길 85 신내우디안1단지,37.61727142,127.1085434,신내역로1길,신내동,신내,676.7,0
632,중화수경공원,중랑구,중랑구 중화동 381-3,37.60318375,127.0741348,중랑천로,중화동,중화,458.4,0
633, 한성대입구역6번출구 뒤,성북구,서울특별시 성북구 동소문로 1 한성대입구역6번출구 뒤,37.58876419,127.0063095,성북로2길,동소문동1가,한성대입구,34.9,0
634, 돈암초교 입구,성북구,서울특별시 성북구 동소문로13길 38 돈암초교,37.59169388,127.012497,동소문로,동소문동4가,성신여대입구,360.1,0
635, 만해공원,성북구,서울특별시 성북구 성북로 132-1 만해공원,37.59440231,126.9923096,성북로29길,성북동,한성대입구,1394.6,0
636, 성북구청,성북구,서울특별시 성북구 보문로 168 성북구청,37.58932877,127.0164337,삼선교로24길,삼선동5가,성신여대입구,365.7,1
637, 한성대입구역2번출구,성북구,서울특별시 성북구 동소문로 2 성북구 동소문동2가 2-3,37.58844757,127.0067062,동소문로,동소문동2가,한성대입구,42.9,0
638, 안암로터리 버스정류장 앞,성북구,서울특별시 성북구 안암로 69 안암로터리 버스정류장,37.58259201,127.0289764,안암로9가길,안암동5가,안암,408.4,0
639, 정릉꿈에그린1단지 201동 앞,성북구,서울특별시 성북구 아리랑로19길 20 성북구 정릉동 966-62,37.60243988,127.0116882,아리랑로19길,정릉동,정릉,164.0,0
640, 고려사대부속중고 정문,성북구,서울특별시 성북구 보국문로29길 23 성북구 정릉동 966-1,37.60776138,127.0032806,정릉로,정릉동,북한산보국문,657.9,1
641, 고려사대부속중고 건너편,성북구,서울특별시 성북구 보국문로29길 23 성북구 정릉동 966-1,37.60726166,127.0028381,정릉로12길,정릉동,북한산보국문,725.6,0
642, 길음역 3번출구 뒤,성북구,서울특별시 성북구 동소문로 248 동소문로248,37.60308456,127.0247879,삼양로,길음동,길음,42.8,0
