,Unnamed: 0,Unnamed: 0.1,No,보관소(대여소)명,자치구,상세주소,위도,경도,shortest_road,법정동,shortest_subway,shortest_subway_meter,public_place_in_100m,shortest_bus,shortest_bus_meter,public_transport_in_100m,schools_in_100m,unis_in_100m,total_schools_in_100m,public_places_and_schools_in_100m,대여소_ID,borrow_count,return_count,balance_rate
2006,74,74,74,종로플레이스,종로구,서울특별시 종로구 창경궁로 120 종로플레이스,37.57320023,126.997963,창경궁로16길,인의동,종로5가,426.1,0,종로4가.혜화경찰서,75.9,2,0,0,0,0,ST-1810,44756,46170,0.015551107494006115
1414,75,75,75,종로5가역 4번출구,종로구,서울특별시 종로구 종로5가 79-2,37.57117462,127.0022278,대학로2길,종로5가,종로5가,43.4,0,종로5가.3번출구,29.8,5,0,0,0,0,ST-1811,24917,24912,-0.00010034317365389633
2309,76,76,76,동대문역6번출구,종로구,서울특별시 종로구 종로 302 1호선 동대문역,37.57146072,127.010788,종로46가길,창신동,동대문,92.3,0,동대문역5번출구,93.9,3,0,0,0,0,ST-1812,33882,36081,0.03143089918957163
1764,77,77,77,동묘앞역 6번출구,종로구,서울특별시 종로구 창신동 397-6,37.5715332,127.0156174,지봉로,창신동,동묘앞,141.0,0,동묘역앞,16.9,2,0,0,0,0,ST-1813,43683,44402,0.008162570244650055
1075,78,78,78,창신3동주민센터,종로구,서울특별시 종로구 창신동 23-825,37.57772446,127.0152512,지봉로,창신동,창신,214.9,1,숭인1동주민센터,43.9,5,0,0,0,1,ST-1814,27558,27014,-0.009968482005424027
420,79,79,79,창신역2번 출구,종로구,서울특별시 종로구 창신동 1-105,37.57998657,127.0150604,지봉로17길,창신동,창신,39.5,0,쌍용아파트입구.창신역,58.9,4,0,0,0,0,ST-1815,2919,2477,-0.08191252779836916
1030,80,80,80,국립어린이과학관,종로구,서울특별시 종로구 와룡동 2-85,37.58194733,126.9973679,창경궁로27길,와룡동,혜화,397.7,0,명륜3가.성대입구,117.6,0,0,0,0,0,ST-1816,12726,12428,-0.011847022342370995
1504,81,81,81, 성균관대입구사거리,종로구,서울특별시 종로구 명륜2가 197-4,37.58327484,126.9988556,창경궁로,명륜2가,혜화,283.8,0,성대입구,0.9,5,0,0,0,0,ST-1817,27026,27130,0.0019203781667774577
1622,82,82,82,혜화역 1번출구,종로구,서울특별시 종로구 대학로 144 중원빌딩,37.58385468,127.0018539,대학로14길,혜화동,혜화,168.6,0,혜화역1번출구,45.1,4,0,0,0,0,ST-1818,48759,49211,0.004613657242012861
732,83,83,83,성균관대 정문,종로구,서울특별시 종로구 명륜2가 133,37.58479691,126.9971314,성균관로,명륜2가,혜화,497.9,1,성균관대학교,27.1,1,0,0,0,1,ST-1819,42502,40047,-0.029739912052235643
815,84,84,84,현대그룹(본사),종로구,서울특별시 종로구 연지동 1-38,37.57583618,127.0006943,율곡로,연지동,종로5가,554.4,1,현대그룹빌딩,14.8,3,0,0,0,1,ST-1820,20168,19217,-0.02414624857179129
302,85,85,85,광화문 풍림스페이스본 1단지앞,종로구,서울특별시 종로구 사직동 9-2,37.57529068,126.968956,사직로8길,사직동,경복궁,407.4,0,사직단,83.2,4,0,0,0,0,ST-1822,15409,11988,-0.1248676862430193
365,86,86,86,독립문역 2번출구 뒤,종로구,서울특별시 종로구 무악동 32-3,37.57501602,126.9575501,통일로,무악동,독립문,52.4,1,독립문역,6.6,4,0,0,0,1,ST-1823,7185,5881,-0.09980101025562528
475,87,87,87,인왕산 아이파크 정문,종로구,서울특별시 종로구 무악동 60-5,37.57666779,126.9558487,통일로,무악동,독립문,286.9,0,한성과학고,45.0,3,0,0,0,0,ST-1824,6493,5647,-0.06968698517298187
165,88,88,88,서울미술관,종로구,서울특별시 종로구 부암동 202-1,37.59512711,126.9634934,창의문로12길,부암동,무악재,1840.3,0,자하문터널입구.석파정,53.4,3,0,0,0,0,ST-1825,4381,2731,-0.23200224971878516
72,89,89,89,HW컨벤션센터 앞,종로구,서울특별시 종로구 부암동 134-2,37.59725952,126.963089,자하문로,부암동,무악재,2008.7,0,하림각,48.4,2,0,0,0,0,ST-1826,4420,1805,-0.42008032128514056
39,90,90,90,구기치안센터 앞,종로구,서울특별시 종로구 비봉길 12,37.60950089,126.9566803,비봉길,구기동,녹번,2078.3,1,구기동현대빌라,20.7,2,0,0,0,1,ST-1827,3215,1049,-0.5079737335834896
135,91,91,91,로제우스 레포츠센터,종로구,서울특별시 종로구 구기동 110-22,37.60760117,126.9576874,진흥로,구기동,녹번,2073.4,0,인왕빌딩,36.7,1,0,0,0,0,ST-1828,4238,2430,-0.27114577084583086
605,92,92,92,종로2가 사거리,종로구,서울특별시 종로구 종로 98 와이.비.엠 종로빌딩,37.56999207,126.9883423,삼일대로20길,종로2가,종로3가,354.6,0,인사동.탑골공원,42.7,4,0,0,0,0,ST-1829,29760,27178,-0.04534757104218624
1,93,93,93, 쌍용아파트2단지 정문,종로구,서울특별시 종로구 낙산길198(창신3동),37.58131409,127.0126801,낙산길,창신동,창신,291.3,0,창신쌍용2단지.한성대후문,8.8,2,0,0,0,0,ST-2511,7876,903,-0.7942818088620572
968,94,94,94, 청계3가 사거리,종로구,서울특별시 종로구 관수동91-1,37.56855774,126.9921188,청계천로,관수동,을지로3가,251.8,0,청계2가.수표교,130.5,0,0,0,0,0,ST-2513,17681,17177,-0.014458660852601985
1575,95,95,95, 조계사앞사거리,종로구,서울특별시 종로구 삼봉로95(견지동110),37.5721817,126.9828339,우정국로,견지동,종각,224.4,0,조계사.종로경찰서,33.8,6,0,0,0,0,ST-2472,29096,29300,0.003493389958216316
2046,96,96,96, 자교교회 앞,종로구,서울특별시 종로구 자하문로 56 자교교회,37.58114624,126.9712372,자하문로16길,창성동,경복궁,631.0,0,통인시장종로구보건소,71.5,2,0,0,0,0,ST-2473,30846,31894,0.016703857188396558
1661,97,97,97, 올림픽기념 국민생활관 로터리,종로구,서울특별시 종로구 혜화로 50,37.58983612,126.9993439,혜화로,혜화동,한성대입구,626.4,0,국민생활관,23.3,2,0,0,0,0,ST-2427,30606,30953,0.00563686869507302
1543,98,98,98, 웰니스센터(민방위교육장 앞),종로구,서울특별시 종로구 운니동 98-7,37.57752991,126.9891281,돈화문로11가길,운니동,안국,345.9,2,창덕궁,35.3,5,0,0,0,2,ST-2565,29356,29517,0.0027347001172014335
214,99,99,99, 천지인 오피스텔 앞,종로구,서울특별시 종로구 평창동 290-15,37.60469818,126.9645157,평창1길,평창동,홍제,2525.4,0,화정박물관,33.8,4,0,0,0,0,ST-2622,2038,1400,-0.18557300756253636
1301,100,100,100, 현대 뜨레비앙 아파트 앞,종로구,서울특별시 종로구 돈화문로11가길 59,37.57528305,126.9906235,돈화문로11가길,와룡동,종로3가,421.2,1,창덕궁,89.5,1,0,0,0,1,ST-2623,27312,27148,-0.003011384502387073
257,101,101,101, 돈의문 박물관 마을,종로구,서울특별시 종로구 새문안로 39-1 동서한의원,37.56883621,126.9695511,새문안로,신문로2가,서대문,426.2,0,서울역사박물관(경교장),79.8,2,0,0,0,0,ST-2923,13011,9558,-0.1529974744118038
682,102,102,102, 광화문역 6번출구 옆 A,종로구,서울특별시 종로구 세종로 208,37.56993103,126.9764328,세종대로21길,세종로,광화문,123.3,0,광화문,10.4,6,0,0,0,0,ST-3075,11898,11096,-0.034878663999304164
1191,103,103,103, 종로문화원 건너편,종로구,서울특별시 종로구 중학동 10-3,37.57571411,126.9805069,율곡로2길,중학동,안국,444.2,0,법련사,122.2,0,0,0,0,0,ST-3090,8081,7985,-0.005975351674343334
880,104,104,104, 정동사거리,중구,서울특별시 중구 정동길 2-1 정동사거리,37.56805038,126.9692307,새문안로,충정로1가,서대문,340.9,1,강북삼성병원,56.7,2,0,0,0,1,ST-116,23058,22185,-0.019295802665605728
481,105,105,105, 청계광장 옆,중구,서울특별시 중구 세종대로 136 청계광장 옆,37.56887817,126.9774704,세종대로,태평로1가,광화문,248.7,1,서울신문사,57.9,7,0,0,0,1,ST-126,31286,27240,-0.06913166797662577
1395,106,106,106, 광교사거리 남측,중구,서울특별시 중구 남대문로 125 DGB금융센터,37.56863403,126.9823151,남대문로,다동,종각,177.8,0,종각역,97.3,1,0,0,0,0,ST-134,19327,19308,-0.0004917820628963375
