,보관소(대여소)명,자치구,위도,경도,public_place_in_100m,public_transport_in_100m,total_schools_in_100m,population_per_station,area_per_station,거치대 개수
93, 쌍용아파트2단지 정문,종로구,37.58131409,127.0126801,0,2,0,179,231.75,8
94, 청계3가 사거리,종로구,37.56855774,126.9921188,0,0,0,0,0,5
95, 조계사앞사거리,종로구,37.5721817,126.9828339,0,6,0,80,134.62,6
96, 자교교회 앞,종로구,37.58114624,126.9712372,0,2,0,181,127.05,8
97, 올림픽기념 국민생활관 로터리,종로구,37.58983612,126.9993439,0,2,0,20,116.8,10
98, 웰니스센터(민방위교육장 앞),종로구,37.57752991,126.9891281,2,5,0,0,268.41,6
99, 천지인 오피스텔 앞,종로구,37.60469818,126.9645157,0,4,0,54,174.88,5
100, 현대 뜨레비앙 아파트 앞,종로구,37.57528305,126.9906235,1,1,0,68,211.32,7
101, 돈의문 박물관 마을,종로구,37.56883621,126.9695511,0,2,0,0,154.285,15
102, 광화문역 6번출구 옆 A,종로구,37.56993103,126.9764328,0,6,0,0,287.91,10
103, 종로문화원 건너편,종로구,37.57571411,126.9805069,0,0,0,0,0,15
104, 정동사거리,중구,37.56805038,126.9692307,1,2,0,0,154.285,6
105, 청계광장 옆,중구,37.56887817,126.9774704,1,7,0,0,0,8
106, 광교사거리 남측,중구,37.56863403,126.9823151,0,1,0,0,679.7,10
107, 을지로입구역 4번출구 앞,중구,37.56622314,126.9835892,1,1,0,0,873.33,17
108, KEB 하나금융그룹 명동사옥 옆,중구,37.56546402,126.9841385,0,0,0,3.5,224.42,15
109, 명동성당 앞,중구,37.56447601,126.986969,1,2,0,0,726.81,10
110, 신세계백화점 본점 앞,중구,37.56143188,126.9806976,2,3,0,0,381.2,8
111, 을지로2가 사거리 북측,중구,37.56638336,126.9872055,1,1,0,0,509.655,10
112, 을지로2가 사거리 남측,중구,37.56599045,126.987793,0,1,0,0,1100.91,5
113, 충무로역 6번출구 앞,중구,37.56144714,126.9931107,0,3,0,32,760.72,8
114, 맥스타일 앞,중구,37.56918335,127.0098801,2,1,0,0,0,10
115, 동대문역사문화공원역 9번출구 앞,중구,37.56533051,127.007843,3,5,0,42,605.34,18
116, 시청역(2호선) 9번출구 뒤,중구,37.56322861,126.9748383,0,4,0,0,999.37,24
117, 동대입구역 6번출구 뒤,중구,37.55887222,127.0055389,0,3,0,0,0,10
118, 약수역 3번출구 뒤,중구,37.55429459,127.0112,0,2,0,56,210.45,10
119, 청구역 2번출구 앞,중구,37.5604744,127.0140762,0,4,1,42,151.19,12
120, 서울역9번출구,중구,37.55599976,126.9733582,0,4,0,0,0,7
121, CJ제일제당 앞,중구,37.56386566,127.0027466,1,1,0,116,549.28,8
122, 장충체육관,중구,37.55853271,127.0069885,0,2,0,0,150.91,15
123, 약수역 10번출구 앞,중구,37.55519867,127.0100479,1,0,0,0,256.73,7
124, 신당역 12번 출구 뒤,중구,37.5658493,127.0164032,1,0,0,242,420.97,22
125, 종로학원본원,중구,37.55978012,126.9685059,0,2,0,29,252.96,10
126, 훈련원공원주차장 앞,중구,37.56699371,127.0034638,1,1,0,47,571.2,10
127, 을지로4가역 1번출구,중구,37.5667305,126.9966049,0,2,0,8,308.18,10
128, 충무로역 1번출구,중구,37.56138992,126.9953537,1,4,0,10,297.83,12
129, 시립미술관,중구,37.56505203,126.9734039,1,0,0,0,192.95,8
130, 을지로3가역 3번출구,중구,37.56655884,126.9924393,0,3,0,0,203.39,8
131, 서울역 센트럴 자이아파트,중구,37.55410767,126.9654083,0,2,0,12,0,15
132, 명보사거리,중구,37.56439972,126.9914322,0,0,0,26,255.54,10
133, 송도병원,중구,37.54988861,127.0073471,0,2,0,260,137.5,8
134, 장충동먹자골목 앞,중구,37.56207275,127.0063171,0,1,0,180,181.95,6
135, 청계천 영도교,중구,37.5710144,127.0197449,0,1,0,125,504.24,25
136, 을지로입구역 2번출구,중구,37.56634521,126.9822922,0,1,0,23,607.73,12
137, 신당 래미안 버스정류장,중구,37.56148911,127.0239334,0,6,0,0,0,10
138, SK 남산빌딩,중구,37.55686188,126.9756165,0,0,0,0,580.06,10
139, 서울역 서부교차로2,중구,37.55536652,126.9686432,0,2,0,48,0,20
140,염천교사거리,중구,37.55989075,126.9714966,1,2,0,338,909.1,15
141,서울역 서부,중구,37.55641556,126.9691925,0,4,0,0,0,13
142,호암아트홀,중구,37.5621109,126.9707184,0,1,0,0,0,9
143,대한상공회의소,중구,37.56015396,126.9741058,0,2,0,0,629.2,15
144,롯데호텔,중구,37.56584167,126.9798126,0,2,0,0,786.76,13
145,한국은행,중구,37.5622139,126.9808655,1,2,0,0,1149.46,11
146,웨스틴 조선호텔,중구,37.56415939,126.9794846,0,1,0,0,229.73,10
147,회현역 1번출구,중구,37.5592308,126.9801407,0,0,0,3.5,216.565,11
148,회현역 7번출구,중구,37.55974579,126.9800034,1,0,0,3.5,216.565,13
149,회현사거리 남측,중구,37.56035995,126.9826508,1,1,0,0,589.52,10
150,삼일교(시그니쳐 타워),중구,37.56787109,126.9884033,0,2,0,0,919.93,12
151,을지로4가역 9번출구,중구,37.56605148,126.9979858,0,2,0,0,925.57,20
152,동대문역사문화공원역 1번출구 뒤편,중구,37.56629944,127.0084915,0,1,0,0,0,40
153,DDP 패션몰,중구,37.56764984,127.0118103,4,1,0,0,9.18,21
154,광희문,중구,37.56443024,127.0099564,0,2,0,69,124.31,10
155,앰배서더 호텔 주변,중구,37.55928802,127.0026856,0,3,0,17,187.67,10
156,동대입구역 3번 출구,중구,37.55937576,127.0060272,1,1,0,0,254.12,10
157,약수역 6번 출구,중구,37.55432129,127.010704,0,4,0,77,259.55,8
158,신당역 10번 출구,중구,37.56703186,127.0157929,1,0,1,0,450.17,16
159,남산타운아파트 버스정류장,중구,37.54758453,127.0064392,1,3,0,394,111.09,12
160,도동삼거리,중구,37.55614853,126.9774246,0,2,0,0,0,12
161,서울역5번출구,중구,37.55677032,126.9731979,0,0,0,0,0,10
162, 삼성사이버빌리지아파트,중구,37.55891418,126.964859,0,2,0,722,0,7
163, 시청역 10번출구,중구,37.56284332,126.9726181,0,0,0,0,43.18,10
164, 서울역 7번출구,중구,37.55664444,126.9736404,0,0,0,0,617.14,10
165, 중부경찰서앞사거리 건너편,중구,37.56474304,126.9909515,0,0,0,78.5,163.515,10
