,기준_날짜,기준_시간,시작_대여소,종료_대여소,전체건수,전체_이용_분,전체_이용_거리,전 체건수
8000151,20220627,810,ST-307,ST-63,,4,864,1.0
8000152,20220627,2320,ST-1072,ST-2579,,5,1010,1.0
8000153,20220627,835,ST-838,ST-2579,,13,2000,1.0
8000154,20220627,740,ST-2757,ST-2579,,3,729,1.0
8000155,20220627,945,ST-740,ST-2579,,42,910,1.0
8000156,20220627,2000,ST-1851,ST-1730,,10,1020,1.0
8000157,20220627,1845,ST-1730,ST-1730,,15,970,1.0
8000158,20220627,1125,ST-2899,ST-70,,6,708,1.0
8000159,20220627,920,ST-1970,ST-70,,10,2290,1.0
8000160,20220627,1750,ST-47,ST-70,,14,1959,1.0
8000161,20220627,2245,ST-47,ST-70,,16,2483,1.0
8000162,20220627,1725,ST-2814,ST-63,,8,1590,1.0
8000163,20220627,1945,ST-2813,ST-63,,105,1748,1.0
8000164,20220627,1120,ST-63,ST-63,,66,470,1.0
8000165,20220627,845,ST-60,ST-63,,6,668,1.0
8000166,20220627,1035,ST-3061,ST-63,,4,660,1.0
8000167,20220627,820,ST-1081,ST-1873,,17,3180,1.0
8000168,20220627,2335,ST-895,ST-1873,,12,2250,1.0
8000169,20220627,1830,ST-71,ST-421,,23,4490,1.0
8000170,20220627,1830,ST-2644,ST-421,,15,2016,1.0
8000171,20220627,2155,ST-1753,ST-421,,41,7410,1.0
8000172,20220627,130,ST-1002,ST-278,,32,2330,1.0
8000173,20220627,945,ST-1698,ST-295,,4,406,1.0
8000174,20220627,1545,ST-1698,ST-295,,4,510,1.0
8000175,20220627,2245,ST-28,ST-295,,45,7020,1.0
8000176,20220627,810,ST-73,ST-295,,15,3240,1.0
8000177,20220627,815,ST-278,ST-281,,11,2061,1.0
8000178,20220627,1155,ST-281,ST-281,,0,0,1.0
8000179,20220627,2020,ST-287,ST-281,,31,3290,2.0
8000180,20220627,2355,ST-1698,ST-281,,10,1706,1.0
8000181,20220627,745,ST-295,ST-295,,0,0,1.0
8000182,20220627,2150,ST-295,ST-295,,52,3263,2.0
8000183,20220627,1020,ST-278,ST-278,,9,690,1.0
8000184,20220627,2140,ST-1970,ST-295,,14,1740,1.0
8000185,20220627,1850,ST-51,ST-295,,14,2386,1.0
8000186,20220627,525,ST-516,ST-295,,31,6098,1.0
8000187,20220627,1815,ST-1699,ST-1701,,11,1951,1.0
8000188,20220627,1720,ST-287,ST-1972,,17,1640,1.0
8000189,20220627,1930,ST-422,ST-1972,,4,700,1.0
8000190,20220627,2200,ST-668,ST-1972,,33,7145,1.0
8000191,20220627,2115,ST-1503,ST-294,,17,2012,1.0
8000192,20220627,2225,ST-3059,ST-1973,,26,3960,1.0
8000193,20220627,1855,ST-992,ST-1973,,36,6381,1.0
8000194,20220627,1815,ST-1675,ST-1691,,6,1500,1.0
8000195,20220627,2240,ST-29,ST-1691,,4,810,1.0
8000196,20220627,1810,ST-73,ST-1691,,30,2554,1.0
8000197,20220627,1850,ST-68,ST-69,,4,391,1.0
8000198,20220627,2150,ST-2920,ST-413,,17,2144,1.0
8000199,20220627,810,ST-1320,ST-413,,5,1034,1.0
8000200,20220627,950,ST-1320,ST-413,,15,1518,1.0
8000201,20220627,850,ST-288,ST-294,,4,688,1.0
8000202,20220627,2005,ST-2815,ST-294,,20,1960,1.0
8000203,20220627,2140,ST-2815,ST-294,,12,1799,1.0
8000204,20220627,1955,ST-2818,ST-294,,12,1900,1.0
8000205,20220627,745,ST-1968,ST-294,,5,800,1.0
8000206,20220627,935,ST-1653,ST-294,,6,960,1.0
8000207,20220627,1740,ST-1701,ST-1973,,4,430,1.0
8000208,20220627,855,ST-71,ST-69,,1,230,1.0
8000209,20220627,1530,ST-3073,ST-69,,8,1260,1.0
8000210,20220627,1105,ST-2812,ST-413,,5,930,1.0
8000211,20220627,1820,ST-282,ST-413,,7,800,1.0
8000212,20220627,1800,ST-281,ST-413,,6,800,1.0
